MS;Region;Article ;Descriptor;Assessment criteria;Assessment;Summary;Score ;Conclusion;Source file
FI ;BAL ;14;D1-M;Exceptions;Finland does not apply exceptions for D1-M;Finland does not apply exceptions for D1-M;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1-R;Coverage of pressures;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1-R;Coverage of GES and targets;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1-R;Timelines;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;14;D1-R;Exceptions;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1-C;Coverage of pressures;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1-C;Coverage of GES and targets;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1-C;Timelines;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;14;D1-C;Exceptions;Not reported ;Not reported ;Not reported ;Not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1 Pelagic ;Coverage of pressures;"Finland reports several measures that will address nutrient enrichment and therefore eutrophication in its marine waters, resulting from various land- and sea-based sources (M001-EUTRO, M002-EUTRO, M003-EUTRO, M005-EUTRO, M006-EUTRO, M008-EUTRO). Furthermore, various pressures on water column habitats will be covered through spatial protection measures (M024-MPLAN, M025-HABIT M026-HABIT, M027-HABIT). Also, activities that impact flow conditions of the water column will be addressed by Finnish measures (M019-HYDRO, M004-EUTRO).
Finland discusses water column habitats in its section on the current state of the marine environment, reporting negative trends among plankton populations, linked to nutrient loading and eutrophication. Finland states that eutrophication caused by excessive nutrient concentrations causes harmful changes throughout the entire Baltic Sea ecosystem, in particular in the Gulf of Finland and the Åland Sea. The composition of the zooplankton communities has, it reports, changed due to eutrophication. By reporting several measures that address nutrient enrichment, it is likely that an improvement of water column habitats will be supported. However, it is not clear whether all relevant contaminants are covered by the measures or whether NIS or marine litter are addressed sufficiently for this habitat. Therefore, the measures partially address water column habitats. 

In its Article 8 reporting Finland included the pressure physical loss as relevant for D6, highlighting fisheries as a contributing factor. However, Finland states that bottom trawl fisheries are not occurring within Finish waters and therefore these activities do not impact the seabed. Therefore, physical loss caused by fisheries is indirectly addressed by one of Finland’s measures (M012-FISH). Moreover, physical loss will be addressed for dredging activities (M017-PHYS, M018-PHYS) and non-reported activities (M019-HYDRO). Furthermore, Finland had identified physical damage caused by dredging and shipping as relevant under Article 8. This pressure is addressed by the measures (M017-PHYS, M018-PHYS, M024-MPLAN). Also, one measure for which the activities have not been reported address physical damage (M019-HYDRO). Therefore, pressures for seabed habitats are covered.

Moreover, Finland reports several measures that address nutrient enrichment from various land and seabed sources (M001-EUTRO, M002-EUTRO, M003-EUTRO, M005-EUTRO, M006-EUTRO, M008-EUTRO). In addition, various pressures on seabed habitats will be covered through spatial protection measures (M024-MPLAN, M025-HABIT M026-HABIT, M027-HABIT). Also, activities that impact flow conditions of the water column will be addressed by Finish measures (BALFI-M019-HYDRO, BALFI-M004-EUTRO).

At a regional level, the majority of other Member States of the Baltic Sea region reported renewable energy as a relevant activity contributing to physical loss under article 8. This activity might therefore also be relevant for Finland, given that it has installed a number of important wind farms in its waters, with plans to install further farms in the future. In light of this, Finland reports under its group of measures reduction of physical damage and loss of seafloor habitats that wind power engineering constructions are covered by existing regional plans since 2012. While it is likely that these regional plans address the pressure ‘physical loss’, this cannot be verified due to the limited information on existing measures.

Finland links its measures for seabed habitats to HELCOM.";"Water column habitats: The measures address nutrient enrichment from various land- and sea-based sources. However, it is not clear whether contaminants, NIS or marine litter are covered. Thus, the habitat is partially addressed.

Seabed habitats: The measures address physical loss and damage caused by dredging. Physical loss from fisheries is addressed by indirect measures; however, the Member State indicates that bottom trawling does not occur within Finish waters. Therefore, the measures address the pressures. Finland does partially cover nutrient enrichment. ";2;Addressed (seabed habitats), partially addressed (water column habitats);https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1 Pelagic ;Coverage of GES and targets;"Finland reports a general, overarching GES that does not specifically mention habitats. Neither water column habitats nor zooplankton are mentioned within the group of measures listed as relevant to water column habitats in table 18 of this report, however some of the measures do identify the broader definition of ‘habitats’, which encompasses both water column and seabed habitats. However, the reported measures can partially contribute to the broader requirements of maintaining biological diversity of water column habitats, their quality, occurrence and food web mechanisms, by covering MPA and MSP measures, together with a measure that specifically targets the Baltic Sea lagoons protected under the Habitats Directive. Nevertheless, NIS or marine litter are not covered by the biodiversity measures. 
As stated above for the other species groups, Finland reported overarching targets for all species groups and habitats, such as target 3 and 6 as directly relevant and target 1, 4 and 5 as indirectly relevant. These targets are addressed by the measures reported for water column habitats and the implementation of the Marine Spatial Planning Directive (Directive 2014/89/EU), in addition to measures reported under D2, D3, D5, D8, D10 and D11.

Finland reports a general, overarching GES that does not specifically mention habitats. However, the measures identified address most GES components linked to D1, D4 and D6, such as protection of the structure and function of the seabed and prevention of harmful impacts to benthic ecosystems. The measures aim to reduce most impacts on seabed habitats caused by marine sand and aggregate extraction, and nutrient loading, in addition to protecting sensitive species and habitats through MPAs and MSP plans. Nevertheless, it is not clear to what extend seabed impacting fisheries are covered. 

As stated above for birds and fish, Finland reported overarching targets for all species groups and habitats, such as target 3 and 6 as directly relevant and target 1 and 5 as indirectly relevant. These targets are addressed by the measures reported for seabed habitats and the implementation of the Maritime Spatial Planning Directive (Directive 2014/89/EU), in addition to measures reported under D2 and D5. Furthermore, Finland reports target 4 directly to D6, which aims to reduce harmful effects of shipping, including physical impacts on the seabed, which will be addressed by the measure on spatial planning. 
";"Water column habitats: The species group is partially addressed, as NIS and contaminants are not directly covered; however, nutrient enrichment is partly addressed by the measures. 

Seabed habitats: The measures partially address seabed species and key habitats. The measures identified address most GES components linked to D1, D4 and D6, such as protection of the structure and function of the seabed and prevention of harmful impacts to benthic ecosystems. Nevertheless, it is not clear to what extend seabed impacting fisheries are covered. The targets are addressed by the measures defined for seabed habitats.";2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D1 Pelagic ;Timelines;"Timeline to achieve GES
Finland reports that based on an initial assessment, the implementation of the existing and new measures of its PoM will lead to a decrease in human pressures on the marine environment, species and habitats by 2020. However, it states that GES cannot be fully achieved by 2020, as the recovery of some damaged ecosystems will require more time. This applies particularly to habitats and species impacted by nutrient enrichment and the contamination by harmful substances. Finland also states that it might take anywhere from years to decades for positive changes from measures to become noticeable. It does, however, indicate that GES will be achieved by 2020 for seabed habitats.

Timeline of implementation of the PoM
Most of Finland’s measures reported for biodiversity will be implemented before or by 2016, apart from:
•	Measure M013-LITT on litter and M015-NOISE on noise, which will be rolled out in several phases starting in 2016 and then in 2019.
•	Measure M018-PHYS on physical seabed impacts, which will also be rolled out in phases starting in 2016, and then in 2019.";Even though no exception is applied, Finland states that GES might not be achieved by 2020 for all species groups and habitats, apart from seabed habitats, due to pressures from nutrients and contaminants. However, no timeline for achieving GES is specified. Measures are mostly in place by 2016, with some having a staged roll-out planned. Given the unclear information reported about achieving GES, no conclusions can be made on the timelines for all species groups and water column habitats. The timelines are appropriate for seabed habitats.;3;Appropriate (seabed habitats);https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;14;D1 Pelagic ;Exceptions;Finland does not apply exceptions for D1 Pelagic. ;Finland does not apply exceptions for D1 Pelagic. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D4;Coverage of pressures;"From D1, 4, 6 assessment 

It is not clear if the pressure extraction of species caused by fisheries will be covered by Finland, as the new fish measures have mostly indirect effects on the reduction of this pressure (M011-FISH, M012-FISH). Finland reports two measures that will address physical damage caused by dredging and non-reported activities (M018-PHYS, M004-EUTRO). Two measures will address nutrient enrichment from sea and land-based sources respectively (M003-EUTRO, M004-EUTRO). Finland also addresses water flow in fish habitats, including diadromous fish species, to improve the conditions of flowing water bodies (M019-HYDRO, M004-EUTRO). Furthermore, MPA measures will address various impacts on fish habitats, including shipping, fishing, recreation and private boat traffic (M024-MPLAN, M025-HABIT, M026-HABIT). Fish breeding habitats, such as seagrass beds, red algae beds (Rhodophyta sp.) and bladder wrack seaweed (Fucus vesiculosus) are also addressed (BALFI-M027-HABIT). Overall, measures partially address pressures resulting from fishing activities, as these are indirectly covered. 

Finland links its measures for Fish (D1, 4) to HELCOM.

Finland reports two measures that will aim to reduce marine mammal by-catch caused by fisheries, of which one will particularly cover the Baltic ringed seal (Phoca hispida) (M026-HABIT, M028-HABIT). Contamination relevant to the Baltic ringed seal will be covered too by one measure (M028-HABIT). Finland states that the ringed seal was currently the only marine mammal species in its waters, for which GES had not been achieved yet. Therefore, it reported mostly measures that targets this species. 

In addition, impacts on mammal habitats from activities, such as shipping, fishing, recreational and private boat traffic, will be reduced for mammals within MPAs (M024-MPLAN), in addition to other pressures and activities which have not been specified by Finland (M025-HABIT, M026-HABIT).

Furthermore, even though by-catch, contaminants, shipping and recreational activities are covered by measures, the reported measures are not likely to be sufficient to fully address these pressures. Also, underwater noise is covered by measures with indirect effects, such as monitoring and governance measures. 

Finland links its measures for marine Mammals (D1, 4) to HELCOM.";"From D1, 4, 6 assessment 

Fish: The measures partially address the pressure extraction of species caused by fisheries. The measures indirectly address it by focusing primarily on research. But, Finland does cover impacts on functional fish habitats, such as breeding sites and migratory fish habitats. 

Mammals: Even though contamination and incidental by-catch will be covered by the measures, the measures overall partially address pressures such as underwater noise, which is indirectly addressed. Impacts on mammal habitats will be reduced by the implementation of MPA and MSP measures.";2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D4;Coverage of GES and targets;"From D1, 4, 6 assessment 

Finland reports a general, overarching GES that does not specifically mention species groups. However, the measures identified partially address the relevant GES components, as even though they include the development of species action plans, the expansion of the MPA network and diadromous fish habitat protection measures, it is not clear whether the extraction of species will be covered for all relevant non-commercial fish species. 

As stated above for birds, Finland reported overarching targets for all species groups and habitats, such as target 3 and 6 as directly relevant and target 1, 4 and 5 as indirectly relevant. These targets are addressed by the measures reported for fish and the implementation of the Marine Spatial Planning Directive (Directive 2014/89/EU), in addition to measures reported under D2, D3, D5, D8, D10 and D11.

Finland reports a general, overarching GES that does not specifically mention species groups. However, the measures identified address all GES components by addressing the development of species action plans, the development and expansion of MPA networks and management, along with specific seal protection measures.

As stated above for birds and fish, Finland reported overarching targets for all species groups and habitats, such as target 3 and 6 as directly relevant and target 1, 4 and 5 as indirectly relevant. These targets are addressed by the measures reported for mammals and the implementation of the Marine Spatial Planning Directive (Directive 2014/89/EU), in addition to measures reported under D2, D3, D5, D8, D10 and D11.";"From D1, 4, 6 assessment 
Fish: measures cover fish spawning areas in shallow waters and other functional fish areas through MPA and MSP measures, in addition to fish protected by the Habitats Directive and HELCOM, including the European grayling. Therefore, GES and targets are covered. 

Mammals: measures cover mammals protected by the Habitats Directive and HELCOM, and aim to protect mammal habitats through MPA and MSP measures. Therefore, GES and targets are covered.";3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D4;Timelines;"Timeline to achieve GES
Finland reports that based on an initial assessment, the implementation of the existing and new measures of its PoM will lead to a decrease in human pressures on the marine environment, species and habitats by 2020. However, it states that GES cannot be fully achieved by 2020, as the recovery of some damaged ecosystems will require more time. This applies particularly to habitats and species impacted by nutrient enrichment and the contamination by harmful substances. Finland also states that it might take anywhere from years to decades for positive changes from measures to become noticeable. It does, however, indicate that GES will be achieved by 2020 for seabed habitats.

Timeline of implementation of the PoM
Most of Finland’s measures reported for biodiversity will be implemented before or by 2016, apart from:
•	Measure M013-LITT on litter and M015-NOISE on noise, which will be rolled out in several phases starting in 2016 and then in 2019.
•	Measure M018-PHYS on physical seabed impacts, which will also be rolled out in phases starting in 2016, and then in 2019.";Even though no exception is applied, Finland states that GES might not be achieved by 2020 for all species groups and habitats, apart from seabed habitats, due to pressures from nutrients and contaminants. However, no timeline for achieving GES is specified. Measures are mostly in place by 2016, with some having a staged roll-out planned. Given the unclear information reported about achieving GES, no conclusions can be made on the timelines for all species groups and water column habitats. The timelines are appropriate for seabed habitats.;3;Appropriate (seabed habitats);https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;14;D4;Exceptions;Finland does not apply exceptions for D1-F and D1-M. ;Finland does not apply exceptions for D1-F and D1-M. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D6;Coverage of pressures;"From D1, 4, 6 assessment 

Finland reports several measures that will address nutrient enrichment and therefore eutrophication in its marine waters, resulting from various land- and sea-based sources (M001-EUTRO, M002-EUTRO, M003-EUTRO, M005-EUTRO, M006-EUTRO, M008-EUTRO). Furthermore, various pressures on water column habitats will be covered through spatial protection measures (M024-MPLAN, M025-HABIT M026-HABIT, M027-HABIT). Also, activities that impact flow conditions of the water column will be addressed by Finnish measures (M019-HYDRO, M004-EUTRO).
Finland discusses water column habitats in its section on the current state of the marine environment, reporting negative trends among plankton populations, linked to nutrient loading and eutrophication. Finland states that eutrophication caused by excessive nutrient concentrations causes harmful changes throughout the entire Baltic Sea ecosystem, in particular in the Gulf of Finland and the Åland Sea. The composition of the zooplankton communities has, it reports, changed due to eutrophication. By reporting several measures that address nutrient enrichment, it is likely that an improvement of water column habitats will be supported. However, it is not clear whether all relevant contaminants are covered by the measures or whether NIS or marine litter are addressed sufficiently for this habitat. Therefore, the measures partially address water column habitats. 

In its Article 8 reporting Finland included the pressure physical loss as relevant for D6, highlighting fisheries as a contributing factor. However, Finland states that bottom trawl fisheries are not occurring within Finish waters and therefore these activities do not impact the seabed. Therefore, physical loss caused by fisheries is indirectly addressed by one of Finland’s measures (M012-FISH). Moreover, physical loss will be addressed for dredging activities (M017-PHYS, M018-PHYS) and non-reported activities (M019-HYDRO). Furthermore, Finland had identified physical damage caused by dredging and shipping as relevant under Article 8. This pressure is addressed by the measures (M017-PHYS, M018-PHYS, M024-MPLAN). Also, one measure for which the activities have not been reported address physical damage (M019-HYDRO). Therefore, pressures for seabed habitats are covered.

Moreover, Finland reports several measures that address nutrient enrichment from various land and seabed sources (M001-EUTRO, M002-EUTRO, M003-EUTRO, M005-EUTRO, M006-EUTRO, M008-EUTRO). In addition, various pressures on seabed habitats will be covered through spatial protection measures (M024-MPLAN, M025-HABIT M026-HABIT, M027-HABIT). Also, activities that impact flow conditions of the water column will be addressed by Finish measures (BALFI-M019-HYDRO, BALFI-M004-EUTRO).

At a regional level, the majority of other Member States of the Baltic Sea region reported renewable energy as a relevant activity contributing to physical loss under article 8. This activity might therefore also be relevant for Finland, given that it has installed a number of important wind farms in its waters, with plans to install further farms in the future. In light of this, Finland reports under its group of measures reduction of physical damage and loss of seafloor habitats that wind power engineering constructions are covered by existing regional plans since 2012. While it is likely that these regional plans address the pressure ‘physical loss’, this cannot be verified due to the limited information on existing measures.

Finland links its measures for seabed habitats to HELCOM.";"From D1, 4, 6 assessment 

Water column habitats: The measures address nutrient enrichment from various land- and sea-based sources. However, it is not clear whether contaminants, NIS or marine litter are covered. Thus, the habitat is partially addressed.

Seabed habitats: The measures address physical loss and damage caused by dredging. Physical loss from fisheries is addressed by indirect measures; however, the Member State indicates that bottom trawling does not occur within Finish waters. Therefore, the measures address the pressures. Finland does partially cover nutrient enrichment. ";2;Addressed (seabed habitats), partially addressed (water column habitats);https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D6;Coverage of GES and targets;"From D1, 4, 6 assessment 

Finland reports a general, overarching GES that does not specifically mention habitats. Neither water column habitats nor zooplankton are mentioned within the group of measures listed as relevant to water column habitats in table 18 of this report, however some of the measures do identify the broader definition of ‘habitats’, which encompasses both water column and seabed habitats. However, the reported measures can partially contribute to the broader requirements of maintaining biological diversity of water column habitats, their quality, occurrence and food web mechanisms, by covering MPA and MSP measures, together with a measure that specifically targets the Baltic Sea lagoons protected under the Habitats Directive. Nevertheless, NIS or marine litter are not covered by the biodiversity measures. 
As stated above for the other species groups, Finland reported overarching targets for all species groups and habitats, such as target 3 and 6 as directly relevant and target 1, 4 and 5 as indirectly relevant. These targets are addressed by the measures reported for water column habitats and the implementation of the Marine Spatial Planning Directive (Directive 2014/89/EU), in addition to measures reported under D2, D3, D5, D8, D10 and D11.

Finland reports a general, overarching GES that does not specifically mention habitats. However, the measures identified address most GES components linked to D1, D4 and D6, such as protection of the structure and function of the seabed and prevention of harmful impacts to benthic ecosystems. The measures aim to reduce most impacts on seabed habitats caused by marine sand and aggregate extraction, and nutrient loading, in addition to protecting sensitive species and habitats through MPAs and MSP plans. Nevertheless, it is not clear to what extend seabed impacting fisheries are covered. 

As stated above for birds and fish, Finland reported overarching targets for all species groups and habitats, such as target 3 and 6 as directly relevant and target 1 and 5 as indirectly relevant. These targets are addressed by the measures reported for seabed habitats and the implementation of the Maritime Spatial Planning Directive (Directive 2014/89/EU), in addition to measures reported under D2 and D5. Furthermore, Finland reports target 4 directly to D6, which aims to reduce harmful effects of shipping, including physical impacts on the seabed, which will be addressed by the measure on spatial planning. ";"From D1, 4, 6 assessment 

Water column habitats: The species group is partially addressed, as NIS and contaminants are not directly covered; however, nutrient enrichment is partly addressed by the measures. 

Seabed habitats: The measures partially address seabed species and key habitats. The measures identified address most GES components linked to D1, D4 and D6, such as protection of the structure and function of the seabed and prevention of harmful impacts to benthic ecosystems. Nevertheless, it is not clear to what extend seabed impacting fisheries are covered. The targets are addressed by the measures defined for seabed habitats.";2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;13;D6;Timelines;"Timeline to achieve GES
Finland reports that based on an initial assessment, the implementation of the existing and new measures of its PoM will lead to a decrease in human pressures on the marine environment, species and habitats by 2020. However, it states that GES cannot be fully achieved by 2020, as the recovery of some damaged ecosystems will require more time. This applies particularly to habitats and species impacted by nutrient enrichment and the contamination by harmful substances. Finland also states that it might take anywhere from years to decades for positive changes from measures to become noticeable. It does, however, indicate that GES will be achieved by 2020 for seabed habitats.

Timeline of implementation of the PoM
Most of Finland’s measures reported for biodiversity will be implemented before or by 2016, apart from:
•	Measure M013-LITT on litter and M015-NOISE on noise, which will be rolled out in several phases starting in 2016 and then in 2019.
•	Measure M018-PHYS on physical seabed impacts, which will also be rolled out in phases starting in 2016, and then in 2019.";Even though no exception is applied, Finland states that GES might not be achieved by 2020 for all species groups and habitats, apart from seabed habitats, due to pressures from nutrients and contaminants. However, no timeline for achieving GES is specified. Measures are mostly in place by 2016, with some having a staged roll-out planned. Given the unclear information reported about achieving GES, no conclusions can be made on the timelines for all species groups and water column habitats. The timelines are appropriate for seabed habitats.;3;Appropriate (seabed habitats);https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FI ;BAL ;14;D6;Exceptions;Finland does not apply exceptions for D1 Pelagic. ;Finland does not apply exceptions for D1 Pelagic. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/f4148616-5e09-44b9-ac1d-2b503a48bae0/details
FR ;ATL ;13;D1-B;Coverage of pressures;"As France reports a large number of measures relevant for birds in the North Sea, a number of pressures are addressed for all species groups, such as marine litter caused by aquaculture (M019-ATL1b). 

In addition, spatial protection measures address impacts on marine habitats for all species groups (M201-NAT1a, M205-NAT1a, M007-NAT1b). France also addresses by-catch caused by fisheries (M264-NAT1a) and further spatial protection measures (M001-3NAT1b, M005-NAT1b) for birds.
";The measures address the main pressures on birds. They focus on tackling bird by-catch and impacts on bird habitats in both subregions. Also, noise and light pollution affecting birds, and impacts of rats and invasive species are covered in the Mediterranean. ;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
FR ;MED ;13;D1-B;Coverage of pressures;"In the Mediterranean, France addresses the pressure ‘by-catch’ caused by fisheries for birds (M020-MED1a). In addition, it targets various anthropogenic impacts on bird habitats through spatial protection measures (M002-MED1a, M004-MED1a, M001- M005NAT1b, M007-NAT1b). It states that it also addresses underwater noise and light pollution, and the impact of rats and invasive species on bird nesting sites (M023-MED1a, M025-MED1a, M026-MED1a).

At a regional level, France links measure M206-NAT1a and M007-NAT1b on lists of endangered species and habitats to its obligations under OSPAR and the Barcelona Convention for D1,4 Birds.";The measures address the main pressures on birds. They focus on tackling bird by-catch and impacts on bird habitats in both subregions. Also, noise and light pollution affecting birds, and impacts of rats and invasive species are covered in the Mediterranean. ;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
FR ;ATL ;13;D1-B;Coverage of GES and targets;"France defines the same GES for all subregions and does not define GES for specific species groups. This GES is addressed for birds, as the measures cover anthropogenic pressures on nesting sites and by-catch, in addition to invasive and habitat disturbing species, such as the yellow-legged gull and rats. Furthermore, bird habitats are protected through spatial protection measures. Overall, these measures will support the achievement of GES components such as bird populations, diversity, quality of habitats and distribution.

France reports general targets which address all species for the North East Atlantic. The measures for birds include a range of actions that address multiple descriptor targets by developing protected species lists, considering birds integrated coastal and marine plans, licensing and awareness raising, regulation of fishing equipment, training for stakeholder groups, researching cumulative effects. These in addition to the measures specifically linked to birds designed to reduce incidental catches and the designation of additional Natura 2000 sites, address the targets identified for birds in the North Sea and Bay of Biscay.";The measures address GES and targets by supporting the achievement of GES components such as bird populations, diversity, quality of habitats and distribution. The measures for birds include a range of actions that address multiple descriptor targets and the general targets which concern all species in the NEA. In the Western Mediterranean subregion, the measures aim to limit human impact on bird nesting areas, conduct targeted campaigns of rat extermination, and reduce the population of yellow-legged gulls, which contributes to address the targets.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
FR ;MED ;13;D1-B;Coverage of GES and targets;"The general GES is addressed by the measures, as France targets various anthropogenic pressures on bird species and habitats, such as by-catch, underwater noise and light pollution. It also aims to protect bird habitats through spatial protection measures, which will support the protection of bird populations. 

France reports species specific targets in its Mediterranean PoM. The bird measures are specifically linked to the targets defined for the Western Mediterranean and include limiting human impact on bird nesting areas, conducting targeted campaigns of rat extermination, and reducing the population of yellow-legged gulls. Therefore, the measures address the targets set out. ";The measures address GES and targets by supporting the achievement of GES components such as bird populations, diversity, quality of habitats and distribution. The measures for birds include a range of actions that address multiple descriptor targets and the general targets which concern all species in the NEA. In the Western Mediterranean subregion, the measures aim to limit human impact on bird nesting areas, conduct targeted campaigns of rat extermination, and reduce the population of yellow-legged gulls, which contributes to address the targets.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
FR ;ATL ;13;D1-B;Timelines;"Timeline to achieve GES
In general, France states that the existing and new measures should be sufficient to achieve GES by 2020. However, it notes that from 2017 GES will be further developed to become more quantifiable, with aggregation rules defined, and the distance to GES measured. 

Timeline for implementation of the PoMs
France does not report a timeline for the implementation of the existing but not yet implemented measures. New measures will be implemented by 2016, apart from two measures that will only be applied by 2017 and 2018 (M034-MED2 and M025-ATL2, that only concern seabed habitats in the Mediterranean and NEA regions respectively).";France reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two will be implemented by 2017 and 2018. As such, the timelines are appropriate. ;3;Appropriate ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
FR ;MED ;13;D1-B;Timelines;"Timeline to achieve GES
In general, France states that the existing and new measures should be sufficient to achieve GES by 2020. However, it notes that from 2017 GES will be further developed to become more quantifiable, with aggregation rules defined, and the distance to GES measured. 

Timeline for implementation of the PoMs
France does not report a timeline for the implementation of the existing but not yet implemented measures. New measures will be implemented by 2016, apart from two measures that will only be applied by 2017 and 2018 (M034-MED2 and M025-ATL2, that only concern seabed habitats in the Mediterranean and NEA regions respectively).";France reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two will be implemented by 2017 and 2018. As such, the timelines are appropriate. ;3;Appropriate ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
FR ;ATL ;14;D1-B;Exceptions;France does not apply exceptions for D1-B;France does not apply exceptions for D1-B;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
;MED ;14;D1-B;Exceptions;France does not apply exceptions for D1-B;France does not apply exceptions for D1-B;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
FR ;ATL ;13;D1-F;Coverage of pressures;In addition to the pressures addressed for all species groups (e.g. impacts on habitats, physical loss, physical damage and litter), France reports a number of pressures for the North East Atlantic Ocean. These pressures are ‘extraction of species’ caused by fisheries (M008-NAT1b, M009-ATL2), ‘longitudinal continuity’ (referring to inhibited migration corridors) caused by non-reported activities (M405-ATL1a, M203-NAT1b) and ‘impacts on fish habitats’ (M002-M005-NAT1b).;The measures cover impacts from fisheries, such as species extraction, impacts on fish habitats and longitudinal continuity in both subregions. France also addresses recreational activities and contamination in the Mediterranean. ;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/35bd99be-360b-401e-a514-2faf295b1278/details
