MS;Region;Article ;Descriptor;Assessment criteria;Summary;Score ;Conclusion
FI ;BAL ;13 and 14;D7;;PoM addresses MSFD needs to progress towards GES. The PoM covers the reported pressures, several activities, the GES definition and target. Finland considers that GES is already achieved. It should be noted that one measure will be implemented with a delay in 2019, which is not fully in line with MSFD needs.;;
FI ;BAL ;13 and 14;D8 and D9;;PoM partially addresses MSFD needs to progress towards GES for D8 and addresses them for D9. Pressures, GES and targets are addressed by the D8/D9 measures. GES is not expected to be achieved by 2020 for D8 (no exception). GES is not expected to be achieved by 2020 for D9, but an exception with a grounded justification is applied.;;
FI ;BAL ;13 and 14;D10;;PoM partially addresses MSFD needs to progress towards GES. The D10 measures address the reported pressures and targets but address only part of the GES definition, . GES is expected to be achieved by 2020.;;
FI ;BAL ;13 and 14;D11;;PoM partially addresses MSFD needs to progress towards GES. The PoM partially addresses pressures and GES, whereas targets are covered. Nevertheless, Finland reports that GES will be achieved by 2020.;;
FI ;BAL ;13 and 14;D1, 4 – Birds;;PoM addresses MSFD needs to progress towards GES. The PoM addresses pressures, GES and targets. No conclusions can be made on the timelines.;;
FI ;BAL ;13 and 14;D1, 4 – Fish;;PoM partially addresses MSFD needs to progress towards GES. The pressure extraction of species is indirectly addressed by the reported measures, but GES and targets are addressed through the reported spatial protection measures. No conclusions can be made on the timelines.;;
FI ;BAL ;13 and 14;D1, 4 Mammals;;PoM partially addresses MSFD needs to progress towards GES. PoM addresses most pressures, but underwater noise is not sufficiently covered. No conclusions can be made on the timelines, and on when GES is expected to be achieved.;;
FI ;BAL ;13 and 14;D1, 4 - Water column habitats;;PoM partially addresses MSFD needs to progress towards GES. Pressures, GES and targets are partially covered. No conclusion can be made on the timelines.;;
FI ;BAL ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD needs to progress towards GES. Even though the pressures are covered, protection measures are mostly limited to MPAs, thus protecting the seabed in these specific areas. Therefore, GES and targets are partially covered. The timeline is appropriate.;;
FR ;MED;13 and 14;D2;;PoMs address MSFD needs to progress towards GES in the North East Atlantic, and partially address MSFD needs to progress towards GES in the Mediterranean Sea. Pressures, GES and targets are addressed, but the pathway of hull fouling is not mentioned in the Mediterranean Sea. France reports that GES is expected to be achieved by 2020 in all subregions.;;
FR ;MED;13 and 14;D3;;PoMs address MSFD needs to progress towards GES in the North East Atlantic, and partially address MSFD needs to progress towards GES in the Mediterranean Sea. In the NEA region, the needs are addressed. However, they are only partially covered for the Western Mediterranean subregion, as the measures are unlikely to sufficiently manage commercial fisheries and regulate recreational fishing for all relevant species. France reports that GES will be achieved by 2020;;
FR ;MED;13 and 14;D5;;PoMs partially address MSFD needs to progress towards GES. . The measures address the relevant pressure (nutrient enrichment) and most activities, though not all those that have been reported. The measures broadly address the GES definition, but partially address target definitions. No targets are defined for the Western Mediterranean subregion, which is a gap in the Member State’s marine strategy. France reports that GES is expected to be achieved by 2020. These results are pending the WFD assessment results.;;
FR ;MED;13 and 14;D7;;PoMs partially address MSFD needs to progress towards GES. Pressures and reported activities are addressed in the NEA subregions and partially addressed in the Western Mediterranean subregion. GES and targets are partially addressed in all subregions. GES is expected to be achieved by 2020.;;
FR ;MED;13 and 14;D8 ;;PoMs partially address MSFD needs to progress towards GES. The existing and new measures address the reported pressures and activities, as well as the targets. Even though the measures address the D8 targets, no clear link can be made with the GES definition, which is thus partially covered. France reports that GES will be achieved by 2020.;;
FR ;MED;13 and 14;D9;;PoMs address MSFD needs to progress towards GES. The PoM addresses the introduction of hazardous compounds and the activities that have been reported in Article 8. The GES and targets are addressed by the measures. France reports that GES will be achieved by 2020.;;
FR ;MED;13 and 14;D10;;PoMs address MSFD needs to progress towards GES in the North East Atlantic, and partially address MSFD needs to progress towards GES in the Mediterranean Sea. The French D10-related measures address GES, almost all targets, and the related pressures (marine litter) and activities. Still, one of the defined targets for the Mediterranean Sea (micro-litter) is not addressed. France acknowledges this and specifies that efforts are currently being placed on characterising pressures and impacts linked to micro-litter and that these aspects will be addressed in the future. France reports that GES will be achieved by 2020.;;
FR ;MED;13 and 14;D11;;PoMs address MSFD needs to progress towards GES. Pressures and activities, GES and targets in the NEA and Mediterranean Sea are addressed. France reports that GES will be achieved by 2020.;;
FR ;MED;13 and 14;D1, 4 – Birds;;PoMs address MSFD needs to progress towards GES. GES definition, targets and pressures are addressed. France reports that GES will be achieved by 2020.;;
FR ;MED;13 and 14;D1, 4 – Fish;;PoMs address MSFD needs to progress towards GES. GES definition, targets and pressures are addressed. France reports that GES will be achieved by 2020.;;
FR ;MED;13 and 14;D1, 4 Mammals;;PoMs address MSFD needs to progress towards GES. Pressures, GES and targets are addressed. France reports that GES will be achieved by 2020.;;
FR ;MED;13 and 14;D1, 4 - Water column habitats;;PoMs partially address MSFD needs to progress towards GES. Pressures, GES and targets are partially addressed, as aspects such as contaminants, eutrophication and NIS are not addressed under this descriptor. France reports that GES will be achieved by 2020;;
FR ;MED;13 and 14;D1, 4, 6 – Seabed habitats;;PoMs partially address MSFD needs to progress towards GES. Activities such as land-claim and seaweed and other food harvesting are not addressed. France reports that GES will be achieved by 2020.;;
HR ;MED ;13 and 14;D2;;PoM partially addresses MSFD needs to progress toward GES. GES, targets and the relevant pressures are addressed. While two of the activities reported under Article 8 as sources of NIS (aquaculture and shipping) are covered, the third activity (tourism and recreation) does not seem to be covered. Croatia considers to have already achieved GES in most of its coastal and marine waters.;;
HR ;MED ;13 and 14;D3;;PoM partially addresses MSFD needs to progress toward GES. Although GES, targets and the relevant pressures caused by commercial fisheries are addressed, it is unclear whether or not recreational fishing, another important source of pressures, is also covered. Croatia does not report when it expects GES to be achieved;;
HR ;MED ;13 and 14;D5;;PoM addresses MSFD needs to progress toward GES. Pressures, GES and targets are addressed by Croatia’s measures, even though most have only indirect effects for D5. Croatia does not report any timeline to achieve GES. This is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment.;;
HR ;MED ;13 and 14;D7;;PoM partially addresses MSFD needs to progress toward GES. Pressures are addressed and cumulative impacts are considered. GES and one of the targets are covered by the PoM. The second target might also be covered, although this cannot be confirmed considering the information provided. Croatia does not report any timeline to achieve GES;;
HR ;MED ;13 and 14;D8 ;;PoM partially addresses MSFD needs to progress toward GES. Although the PoM addresses the relevant pressures and reported activities, it is unclear whether or not the measures can address all elements of the GES and targets definitions. Croatia does not report when GES will be achieved;;
HR ;MED ;13 and 14;D9;;PoM addresses MSFD needs to progress toward GES. The PoM addresses the relevant pressures and reported activities, as well as the GES and targets definitions. Croatia does not report when GES will be achieved;;
HR ;MED ;13 and 14;D10;;PoM partially addresses MSFD needs to progress toward GES. Even though Croatia does not fully cover urban and tourism/recreational activities (reported as relevant sources of litter by most of the neighbouring Member States), the measures address other relevant activities, as well as GES and some of the targets definitions. One target is only partially addressed as only some aspects of macro-litter are covered by the measures. Croatia does not report when GES will be achieved;;
HR ;MED ;13 and 14;D11;;PoM does not address MSFD needs to progress toward GES. The measures only have indirect effects on the pressures. Thus, they do not ensure that the level of noise does not harm the marine environment as per the GES definition. The targets, however, are very similar to the measures and are addressed. Croatia does not report when GES will be achieved;;
HR ;MED ;13 and 14;D1, 4 – Birds;;PoM partially addresses MSFD needs to progress towards GES. Pressures, and part of the GES and targets are addressed by the measures. However, the specific species included in GES definition are not mentioned in the measures and it is unclear whether or not all elements of the targets definitions are fully covered by the PoM. Croatia does not report any timeline to achieve GES;;
HR ;MED ;13 and 14;D1, 4 – Fish;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed by the measures. Croatia does not report any timeline to achieve GES;;
HR ;MED ;13 and 14;D1, 4 Mammals;;PoM partially addresses MSFD needs to progress towards GES. Pressures, GES and targets are partially addressed by the measures. Croatia does not report any timeline to achieve GES;;
HR ;MED ;13 and 14;D1, 4 - Water column habitats;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed by the measures. Croatia does not report any timeline to achieve GES;;
HR ;MED ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD needs to progress towards GES. Pressures, GES and targets are partially addressed by the measures. Croatia does not report any timeline to achieve GES;;
IE ;ATL ;13 and 14;D2;;PoM addresses MSFD need to progress towards GES. The measures address pressures, GES and targets.. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D3;;PoM partially addresses MSFD need to progress towards GES. Even though GES and targets are mostly covered by the PoM, pressures are only partially addressed. Not enough information is provided in the PoM to assess whether commercially important stocks not covered by the CFP will be addressed through the reported measures. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D5;;PoM addresses MSFD need to progress towards GES. The measures aim to reduce nutrient inputs to the marine environment, which are likely to allow for achievement of the relevant WFD and OSPAR thresholds included in the targets and maintain GES that Ireland considers it will be achieved by 2020. This is provided that measures reported under the RBMPs are sufficient to tackle eutrophication. This is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment;;
IE ;ATL ;13 and 14;D7;;PoM addresses MSFD need to progress towards GES. Pressures, GES and targets are addressed. The Member State reports that it cannot determine if GES (and targets) will be achieved by 2020.;;
IE ;ATL ;13 and 14;D8 ;;PoM addresses MSFD need to progress towards GES. The measures defined by Ireland for D8 address the corresponding pressures and activities, as well as the GES and targets. Nevertheless, uncertainties exist about the timeline for achieving GES, as the Member State also states that this cannot be determined.;;
IE ;ATL ;13 and 14;D9;;PoM addresses MSFD need to progress towards GES. Measures appear to address the reported pressures and activities, as well as GES and targets. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D10;;PoM partially addresses MSFD need to progress towards GES. Even though the measures fully address the reported pressures and activities (and even go beyond what has been reported under Article 8), they partly address GES and targets. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D11;;PoM addresses MSFD need to progress towards GES. The measures address the reported pressures and activities (such as hydrocarbon extraction, fisheries, dredging, marine research/surveys and shipping), as well as the GES and target definitions (both impulsive and continuous noise are covered). Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D1, 4 – Birds;;PoM addresses MSFD need to progress towards GES. The PoM addresses pressures as well as the GES definition. Yet targets are not defined for birds, which is a gap in the marine strategy of the Member State. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D1, 4 – Fish;;PoM addresses MSFD need to progress towards GES. The PoM addresses pressures, GES and targets. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D1, 4 Mammals;;PoM addresses MSFD need to progress towards GES. The PoM addresses pressures and GES. Yet targets are not defined for mammals, which is a gap in the marine strategy of the Member State. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D1, 4 - Water column habitats;;PoM partially addresses MSFD need to progress towards GES. The measures reported will partially address water column habitats. It is likely that measures reported under other descriptors will contribute towards the achievement of GES for this habitat, but Ireland does not make this link. Targets are not defined for water column habitats, which is a gap in the marine strategy of the Member State. Ireland reports that GES will be achieved by 2020.;;
IE ;ATL ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD need to progress towards GES. Pressures, GES and targets are not fully covered, e.g. the measures do not cover impacts from trawl fishing sufficiently. Ireland reports that GES will be achieved by 2020.;;
IT ;MED ;13 and 14;D2;;PoM addresses MSFD needs to progress towards GES. The relevant pressures, GES and targets are addressed by the measures. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D3;;PoM partially addresses MSFD needs to progress towards GES. Even though Italy addresses the necessary pressures and reports measures to support the achievement of GES, the targets are partially addressed. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D5;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed by Italy’s existing measures. Italy does not specify when it expects to achieve GES. This assessment is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment.;;
IT ;MED ;13 and 14;D7;;PoM partially addresses MSFD need to progress towards GES. Italy reports two existing measures for this descriptor, which broadly address the relevant pressures and targets, but not the GES definition. Italy considers that is has achieved GES for D7 for the Adriatic Sea subregion. No clear timeline is given for the achievement of GES in the other subregions, with Italy stating that knowledge gaps do not allow for an accurate assessment of status.;;
IT ;MED ;13 and 14;D8 ;;PoM partially addresses MSFD needs to progress towards GES. Although the PoM addresses the reported pressures and some relevant activities, part of the GES definition and one of the three targets are partially covered by the measures. Also, some activities reported as relevant by most neighbouring Member States are not covered by the measures. Italy does not specify when it expects to achie;;
IT ;MED ;13 and 14;D9;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed through measures that focus for example on the management of aquaculture, and achieve the legal thresholds of contaminants in fisheries’ products for human consumption according to applicable norms. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D10;;PoM partially addresses MSFD needs to progress towards GES. Pressures are addressed, by covering several human activities such as shipping, fishing or urban areas, but tourism is indirectly covered. Micro-plastics are mentioned in Article 8 (without further information) and addressed by a measure. GES and targets are covered. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D11;;PoM partially addresses MSFD need to progress towards GES. Although the PoM addresses the pressure and activities reported in Article 8 (marine hydrocarbon extraction, marine research and shipping) through guidelines, registry and noise mapping measures, it does not currently cover impacts of underwater noise, thus partially covering its GES definition. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D1, 4 – Birds;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed by Italy. No exception has been applied and no information is provided regarding the timeline for achieving GES.;;
IT ;MED ;13 and 14;D1, 4 – Fish;;PoM partially addresses MSFD need to progress towards GES. Even though pressures are addressed, measures for the management of coastal fish have not been reported by Italy, even though the Member State identified this as a gap. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D1, 4 Mammals;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed for mammals. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D1, 4 - Water column habitats;;PoM partially addresses MSFD need to progress towards GES. Pressures, and the general GES and targets are partially addressed by measures covering general biodiversity and other descriptors (D2, D5, D8), however, Italy does not make the link between these measures and water column habitats. Italy does not specify when it expects to achieve GES.;;
IT ;MED ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD need to progress towards GES. Pressures, GES and targets are partially addressed by the PoM as the impacts from fisheries are only covered in territorial waters. Italy does not specify when it expects to achieve GES.;;
LT ;BAL ;13 and 14;D2;;PoM partially addresses MSFD needs to progress towards GES. GES, targets and the relevant pressures, as well as shipping (ballast water and bio-fouling), are addressed but some of the activities reported as relevant under Article 8 are not covered by the measures (port operations and tourism/recreation). Lithuania reports that GES will not be achieved by 2020, an exception has been applied and a partially grounded justification provided;;
LT ;BAL ;13 and 14;D3;;PoM partially addresses MSFD needs to progress towards GES. GES, targets and the relevant pressures are partially addressed. Indeed, some of the activities reported in Article 8 are not fully covered (e.g. tourism/recreational fishing) and some aspects of the GES and target definitions are not specifically addressed by the measures (herring, sprat, and age/size structure). Lithuania reports that GES will be achieved by 2020;;
LT ;BAL ;13 and 14;D5;;PoM partially addresses MSFD needs to progress towards GES. GES and targets, as well as pressures and reported activities, are addressed by the measures that contribute to reduce nutrient inputs to the Baltic Sea from several sources. However, Lithuania does not expect GES to be achieved by 2020 and applies an exception with partially grounded justifications (no alternative timeline for the achievement of GES has been reported). Implementation of all new measures is delayed until after the Directive's 2016 deadline This is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment;;
LT ;BAL ;13 and 14;D7;;No conclusion is possible as Lithuania has not reported any measures, nor has it defined GES or environmental targets for D7, which is a gap in its marine strategy. However, measures included in the PoM, but not reported for D7, may be relevant to address the pressures and activities reported under Article 8 (i.e. marine hydrocarbon extraction, port operations, and tourism and recreation). The link between these measures and D7 has not been provided by Lithuania;;
LT ;BAL ;13 and 14;D8 and D9;;PoM partially addresses MSFD needs to progress towards GES. The PoM only partly addresses GES and targets. Nevertheless, it addresses the relevant pressures and reported activities. GES will not be achieved by 2020 and an exception with grounded justifications is applied;;
LT ;BAL ;13 and 14;D10;;No conclusion is possible as, even though the measures address the reported pressures and cover the relevant activities, Lithuania does not define GES and targets (only one objective, without explaining whether this can be considered a target for D10);;
LT ;BAL ;13 and 14;D11;;No conclusion is possible. Only a few measures specifically cover shipping, while more general measures also cover dredging and port operations. Other reported activities are either covered by only indirect measures (monitoring and closing knowledge gaps) or are omitted entirely. Lithuania does not define GES and targets (only one objective, without explaining whether this can be considered a target for D11);;
LT ;BAL ;13 and 14;D1, 4 – Birds;;PoM partially addresses MSFD needs to progress towards GES. The measures only directly address bycatch. The PoM does not explicitly cover the species listed in the GES definition. Lithuania reports that GES is expected to be achieved by 2020;;
LT ;BAL ;13 and 14;D1, 4 – Fish;;PoM does not address MSFD needs to progress towards GES. Even though bycatch is addressed by the measures and a link to the measures reported under D5 is provided, the PoM mainly concerns commercial fish. This does not allow full coverage of the GES and targets definitions. An exception has been applied but the justification is assessed as not grounded;;
LT ;BAL ;13 and 14;D1, 4 Mammals;;No conclusion is possible. Even though some pressures are addressed by the measures (including bycatch), GES and targets have not been defined for mammals (only one objective focusing on food webs, without direct links to mammals);;
LT ;BAL ;13 and 14;D1, 4 - Water column habitats;;PoM does not address MSFD needs to progress towards GES. Even though some pressures (eutrophication and contaminants) are addressed, the spatial scope is quite limited (agriculture in the Curonian Lagoon). It is not clear whether other areas are also covered (which does not allow GES and targets definitions to be fully addressed) and no additional pressures (e.g. NIS) seem to be addressed by the measures focusing on water column habitats. An exception has been applied but the justification is assessed as not grounded;;
LT ;BAL ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM does not address MSFD needs to progress towards GES. The pressures, GES and targets are not addressed. No specific impacts on seabed habitats are clearly covered. The BQI is only covered by a monitoring measure. Lithuania reports that GES will be achieved by 2020.;;
LV ;BAL ;13 and 14;D2;;PoM does not address MSFD needs to progress towards GES. Pressures are partially addressed whereas, GES and target definitions are not addressed. While monitoring, data collection and research efforts will be helpful as they will increase knowledge and understanding of the pressure and allow the Member State to improve their GES determination and targets, key pressures are not currently addressed.;;
LV ;BAL ;13 and 14;D3;;PoM addresses MSFD needs to progress toward GES. Existing measures address pressures, GES and targets. Nevertheless, it should be noted that the Member State does not report when GES is expected to be achieved. Furthermore, a shortcoming is that the single new measure will be implemented in 2020, which is not in line with MSFD needs.;;
LV ;BAL ;13 and 14;D5;;PoM partially addresses MSFD needs. The WFD measures are likely to address the pressures/activities reported in Article 8 in coastal areas, in addition to GES and targets. Latvia acknowledges that GES will not be achieved by 2020, and a grounded justification is provided. Nevertheless, none of the new measures will be implemented by 2016. This is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment.;;
LV ;BAL ;13 and 14;D7;;"PoM does not addresses MSFD needs; no GES is defined. No D7-specific measures have been defined. Pressures/activities are not addressed by the two horizontal measures. GES has not been defined. The target will not be addressed by the measures.";;
LV ;BAL ;13 and 14;D8;;"PoM partially addresses MSFD needs to address pressures and targets; no GES is defined. Even though pressures and targets for D8 are addressed, GES has not been defined and cannot therefore be assessed. The new measure will be implemented in 2020 which is not appropriate.";;
LV ;BAL ;13 and 14;D9;;PoM addresses MSFD needs to progress toward GES. Pressures, GES and targets for D9 are covered. Nevertheless, it should be noted that the Member State does not report when GES is expected to be achieved. Furthermore, a shortcoming is that the single new measure will be implemented in 2020, which is not in line with MSFD needs.;;
LV ;BAL ;13 and 14;D10;;"PoM partially addresses MSFD needs; no GES is defined. The pressure of marine litter is addressed by the reported measures and the target as well. However, GES has not been defined for D10 and hence an assessment on the achievement of GES cannot be done. A shortcoming is that the new measures will be implemented in 2018 and 2020, which is not in line with MSFD needs.";;
LV ;BAL ;13 and 14;D11;;"PoM does not address MSFD needs; no GES is defined. Pressures and targets are not fully addressed through the measures. GES is not defined. New measures will be implemented in 2020, which is not in line with MSFD needs";;
LV ;BAL ;13 and 14;D1, 4 – Birds;;"PoM does not address MSFD needs; no GES is defined. Pressures and targets are not fully addressed through the measures. GES is not defined. New measures will be implemented in 2020, which is not in line with MSFD needs";;
LV ;BAL ;13 and 14;D1, 4 – Fish;;"PoM does not address MSFD needs; GES is not defined. Pressures and targets for fish are partially addressed. No GES is defined. The new measures will be implemented in 2020, which is not in line with MSFD needs.";;
LV ;BAL ;13 and 14;D1, 4 Mammals;;"PoM does not address MSFD needs; GES is not defined. Pressures and targets for mammals are partially addressed. No GES is defined. The new measures will be implemented in 2020, which is not in line with MSFD needs.";;
LV ;BAL ;13 and 14;D1, 4 - Water column habitats;;PoM partially addresses MSFD needs to progress toward GES. Pressures and GES for water column habitats are partially addressed. A shortcoming is that the new measures will be implemented in 2020, which is not in line with MSFD needs.;;
LV ;BAL ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD needs to progress toward GES. Pressures, GES and targets are partially covered. A shortcoming is that the new measures will be implemented in 2020, which is not in line with MSFD needs.;;
MT ;MED ;13 and 14;D2;;PoM addresses MSFD needs to progress towards GES. The relevant pressures, GES and targets are addressed by the measures. A grounded exception has been applied and the timeline is appropriate.;;
MT ;MED ;13 and 14;D3;;PoM addresses MSFD needs to progress towards GES. The relevant pressures, GES and targets are addressed by the measures. A grounded exception has been applied.;;
MT ;MED ;13 and 14;D5;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed by Malta’s existing measures. No exception has been applied and GES is expected to be achieved by 2020. This is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment and the infringement case in relation to the performance of its wastewater plants (measure M043 in the framework of the UWWTD) is successfully resolved.;;
MT ;MED ;13 and 14;D7;;PoM address MSFD need to progress towards GES. Pressures are addressed (even though it should be noted that cumulative impacts are not clearly considered). GES and targets are covered by the PoM. The timeline for achieving GES is uncertain as long as data gaps remain, because Malta states that it still needs to define baseline hydrographical conditions.;;
MT ;MED ;13 and 14;D8;;PoM partially addresses MSFD needs to progress towards GES. Although the PoM addresses the relevant pressures and reported activities, the Member State itself states that GES and targets will not be achieved by 2020 due to data gaps. Furthermore, no alternative timeline for GES and no exception have been reported.;;
MT ;MED ;13 and 14;D9;;PoM addresses MSFD needs to progress towards GES. Pressures and GES are addressed. No targets have been defined. Malta reports that GES will not be achieved by 2020, an exception has been applied and a grounded justification provided.;;
MT ;MED ;13 and 14;D10;;PoM partially addresses MSFD need to progress towards GES. Pressures, GES and targets are addressed by the PoM. Malta reports that GES will not be achieved by 2020, an exception has been applied and a partially grounded justification presented.;;
MT ;MED ;13 and 14;D11;;PoM partially addresses MSFD need to progress towards GES. Although the PoM addresses the target, which links to the closure of data gaps, pressures and GES are only partially covered by the PoM. Malta states that it cannot estimate by when GES will be achieved due to significant data gaps.;;
MT ;MED ;13 and 14;D1, 4 – Birds;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed by Malta. No information is provided regarding the timeline for achieving GES. Pressures, GES and targets are addressed by Malta. No information is provided regarding the timeline for achieving GES.;;
MT ;MED ;13 and 14;D1, 4 – Fish;;PoM partially addresses MSFD need to progress towards GES. Even though pressures are addressed, GES and targets are only partially covered. No information is provided regarding the timeline for achieving GES.;;
MT ;MED ;13 and 14;D1, 4 Mammals;;PoM partially addresses MSFD needs to progress towards GES. GES and targets are addressed for mammals and reptiles, however, pressures are partially covered. No information is provided regarding the timeline for achieving GES.;;
MT ;MED ;13 and 14;D1, 4 - Water column habitats;;"PoM partially addresses MSFD needs. Targets are covered by Malta; however, GES was not defined by the Member State and pressures are partially addressed. No information is provided regarding the timeline for achieving GES.";;
MT ;MED ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD need to progress towards GES. Pressures, GES and targets are partially addressed by the PoM. No information is provided regarding the timeline for achieving GES.;;
NL ;ATL ;13 and 14;D2;;PoM addresses MSFD needs to progress towards GES. The pressures, GES and targets are addressed by the PoM. No conclusion on the timelines is possible.;;
NL ;ATL ;13 and 14;D3;;PoM partially addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed. Nevertheless, the Netherlands states that GES may not be achieved by 2020.;;
NL ;ATL ;13 and 14;D5;;PoM partially addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed. However, the Member State applies an exception, for which the justifications are assessed as partially grounded. The reported timelines are also partially appropriate. This is provided that the relevant measures are assessed as adequate under the WFD. These results are pending the WFD assessment.;;
NL ;ATL ;13 and 14;D7;;PoM addresses MSFD needs to progress towards GES. Pressures, GES and targets are addressed by the reported measure. The timelines are appropriate.;;
NL ;ATL ;13 and 14;D8;;PoM partially addresses MSFD needs to progress towards GES. Even though, the measures for D8 cover the relevant pressures and activities and address the GES and targets definitions, GES is not expected to be achieved by 2020. An exception with a partially grounded justification has been provided.;;
NL ;ATL ;13 and 14;D9;;PoM addresses MSFD needs to progress towards GES. The D9 measures, combined with the D8 measures address the reported pressures, activities, GES and targets. GES is considered to be already achieved by the Member State.;;
NL ;ATL ;13 and 14;D10;;"PoM addresses MSFD needs to progress towards GES. The relevant pressures and activities; as well as the GES and targets are addressed. Furthermore, the timelines reported are appropriate.";;
NL ;ATL ;13 and 14;D11;;PoM addresses MSFD needs to progress towards GES. The D11 measures address the reported pressures and cover the GES and targets definition for D11. Furthermore, the timelines reported are appropriate.;;
NL ;ATL ;13 and 14;D1, 4 – Birds;;PoM partially addresses MSFD needs to progress towards GES. While pressures, GES and targets are covered by the measures, the impact of measures is not expected to be observed on time, and GES is not expected to be achieved by 2020.;;
NL ;ATL ;13 and 14;D1, 4 – Fish;;PoM partially addresses MSFD needs to progress towards GES. While pressures, GES and targets are covered by the measure, the impact of measures is not expected to be observed on time, and GES is not expected to be achieved by 2020.;;
NL ;ATL ;13 and 14;D1, 4 Mammals;;PoM partially addresses MSFD needs to progress towards GES. While pressures, GES and targets are covered by the measure, the impact of measures is not expected to be observed on time, and GES is not expected to be achieved by 2020.;;
NL ;ATL ;13 and 14;D1, 4 - Water column habitats;;PoM partially addresses MSFD needs to progress towards GES. No dedicated water column habitat measures are reported. Nevertheless, D2, D5, D7 and D8 measures will contribute to address water column habitats. The timeline is assessed as not appropriate;;
NL ;ATL ;13 and 14;D1, 4, 6 – Seabed habitats;;PoM partially addresses MSFD needs to progress towards GES. Even though GES and targets, and most relevant pressures are addressed, the Netherlands does not expect GES to be achieved by 2020. The Member State does not apply an exception.;;
PL ;BAL ;13 and 14;D2;;PoM addresses MSFD need to progress towards GES. While most pressures / activities are likely to be covered, and GES and target definitions are broadly addressed, GES is not expected to be achieved by 2020. An exception with a grounded justification is applied.;;
PL ;BAL ;13 and 14;D3;;PoM partially addresses MSFD need to progress towards GES. The measures address the main pressure of fishing, but not seaweed harvesting. It partially covers GES and target definitions, since it is not clear if the PoM will target all commercially-exploited species. While no exceptions are applied, no conclusions may be reached for the timelines, as Poland does not clearly state when GES will be achieved.;;
PL ;BAL ;13 and 14;D5;;PoM partially addresses MSFD need to progress towards GES. The PoM does not address all reported activities in Poland's Article 8 assessment and GES and targets are partially addressed. Poland reports that GES will not be achieved by 2020, yet the provided justifications are assessed as grounded.;;
PL ;BAL ;13 and 14;D7;;PoM partially addresses MSFD need to progress towards GES. Most pressures are addressed through existing regulatory procedures, but some relevant activities such as waste disposal are not. GES and target definitions are very broadly addressed, but a conclusion cannot be made on the targets given the lack of detailed information reported by the Member State. It is likely that the lack of knowledge of hydrographical changes within the Member State’s waters makes the assessment of whether GES will be achieved by 2020 difficult. Poland does not report if GES is expected to be achieved by 2020.;;
PL ;BAL ;13 and 14;D8;;PoM addresses MSFD need to progress towards GES. The PoM addresses GES, targets, as well as the reported pressures and activities. Poland considers GES is already achieved in most of its marine waters. It considers one specific area not to be in GES. Poland reports that GES will not be achieved in that specific area by 2020, for which it applies an exception which this assessment finds grounded.;;
