Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/EL/Rec08;The Member State should make better links between the measures reported for pressure descriptors and their effects on the state descriptors. This would allow a comprehensive view of the impact of measures affecting all descriptors.;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec09;The Member State should improve its PoM to address pressures on marine species and habitats. Measures should extend beyond MPAs and other spatially protected areas, to ensure a wider geographical coverage of pressures.;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec10;The Member State should provide more information on the cost and resource allocations and timelines of implementation of all its new measures.;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec11;"The Member State should ensure a better balance in between direct and indirect measures when many indirect measures have been reported (relevant for birds, fish, mammals, water column habitats; D1, 4).";EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec12;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec13;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec14;The Member State should address the introduction of NIS in its marine waters from shipping better, by including measures targeting bio-fouling and not just ballast water management.;EL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec15;The Member State should consider developing NIS early detection systems and registries as part of the measures.;EL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec16;The Member State should clearly address atmospheric deposition of nutrients (NOx) from sea-based and land-based sources.;EL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec17;The Member State should either clearly explain how its measures tackle hydrographical changes from industry, agriculture and forestry, coastal defence, as well as urban waste water discharge related activities, or establish measures to cover these activities.;EL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec18;The Member State should apply SEA procedures, in addition to EIA procedures, more consistently to ensure that hydrographical changes are tackled at a strategic level, rather than at the project level.;EL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec19;The Member State should address cumulative impacts on habitats by multiple stressors.;EL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec20;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;EL;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec21;The Member State should establish measures to address the introduction of hazardous compounds from marine mining in the Aegean-Levantine Sea.;EL;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec22;The Member State should clearly address atmospheric deposition of contaminants.;EL;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec23;The Member State should clearly cover the biological effect of contaminants.;EL;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec24;The Member State should link its PoM to the Regional Action Plan on marine litter of the Barcelona Convention.;EL;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec25;The Member State should develop efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;EL;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec26;The Member State should establish measures to address underwater noise from defence operations.;EL;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec27;The Member State should consider establishing measures that target other energy inputs if possible (e.g. heat, light).;EL;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec28;The Member State should establish additional measures targeting specific bird species.;EL;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec29;The Member State should establish additional measures to directly address pressures on birds, such as by-catch, physical disturbances (light pollution, oil pollution), disturbances on nesting sites by predation, effects of NIS, contaminants and litter ingestion, as well as measures covering birds’ food sources. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;EL;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec30;The Member State should establish additional measures specific for fish species.;EL;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec31;The Member State should establish additional measures (including MPAs in open sea areas to protect non-commercial fish species) to directly address pressures on fish such as extraction of species by commercial fishing (by-catch), NIS introduction, nutrient enrichment, contaminants and marine litter. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;EL;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec32;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within Member States' territorial waters, and how they are protected.;EL;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec33;The Member State should explain whether or not the PoM include plans for cephalopods.;EL;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec34;The Member State should establish additional measures specific for mammals and reptiles.;EL;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec35;The Member State should establish additional measures, including spatial protection measures, to directly address relevant pressures on mammals such as by-catch from fishing activities, impacts on mammals due to shipping (collision), contaminants, underwater noise, entanglement and ingestion of litter. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;EL;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec36;The Member State should establish dedicated measures to tackle some pressures associated with water column habitats, such as nutrient enrichment, contaminants, NIS and marine litter. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on water column habitats should be explained.;EL;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec37;The Member State should clearly cover plankton populations in its measures.;EL;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec38;The Member State should clearly explain whether or not the measures cover marine mining, land claim and coastal defence, submarine cables and pipelines, tourism and recreation, as well as dredging and aquaculture.;EL;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec39;The Member State should establish measures covering port operations, agriculture and forestry, industry and urban activities, as well as other activities potentially destructive to seabed habitats.;EL;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec40;The Member State should provide more details on measures related to protected areas (and MPAs) such as their area of coverage or temporal ranges of restrictions. The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;EL;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec41;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10), the expected effect that measures are to have on seabed habitats should be explained.;EL;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;ES;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec02;The Member State should specify by when it expects GES to be achieved for all descriptors in all regions (except D5 and D7 because the Member State specifies in the PoM that GES is already achieved for these descriptors). ;ES;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec03;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;ES;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec04;The Member State should develop more research efforts to fill knowledge gaps and provide an assessment on when GES will be achieved.;ES;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec05;The Member State should consider covering additional aspects, such as nutrient inputs from fisheries, if relevant.;ES;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec06;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g., fishing, maritime transport). In some cases (e.g., hydrological changes where local dimension is important), this gap hampers the assessment of cumulative effects.;ES;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec07;The Member State should apply SEA procedures, in addition to EIA procedures, more consistently to ensure that hydrographical changes are tackled at a strategic level, rather than at the project level.;ES;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec08;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;ES;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec09;The Member State should establish measures addressing fisheries, hydrocarbon extraction, port operations and extraction activities /solid waste disposal (identified as relevant by Spain in its Article 8 report), that have direct effects on the pressure.;ES;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec10;The Member State should more clearly indicate which measures reported under other descriptors address pressures for water column habitats (and plankton communities), and elaborate on how GES and targets for water column habitats are expected to be achieved.;ES;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec11;The Member State should clearly explain how the measures address physical damage from hydrocarbon extraction (reported as relevant in Article 8 by the Member State).;ES;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec12;The Member State should establish more measures that extend beyond spatially protected areas (and MPAs) to ensure a wider spatial coverage for these habitats.;ES;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/ES/Rec13;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;ES;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below.;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec02;The Member State should fully address GES and targets for water column and seabed habitats (D1, 4, 6), NIS (D2), marine litter (D10) and underwater noise and energy (D11).;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec03;The Member State should strive to determine the timelines for achieving GES and, where there are delays beyond 2020, to report exceptions provided these are adequately justified (relevant to D8 and biodiversity-related descriptors). Furthermore, if GES is not expected to be achieved by 2020, then the Member State should estimate the alternative dates by when GES will be achieved (relevant also to D3, D5 and D9).;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec04;The Member State should establish more links with existing EU policies and international instruments for D9 and D11.;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec05;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs and the policies and measures that will be in place within these areas).;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec06;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec07;The Member State should make better links between the groups of existing measures reported for pressure descriptors and their effects on the state descriptors. This would allow a comprehensive view of the impact of measures affecting all descriptors.;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec08;The Member State should provide more details on actions put in place under regional agreements.;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec09;The Member State should ensure coherence of its determinations of GES, environmental targets and the PoMs. This would allow to use environmental targets systematically as milestones towards achieving GES through the measures, and monitor this progress through the MSFD monitoring programmes. This is applicable mainly to birds, mammals, fish, water column habitats and seabed habitats (D1, 4, 6).;FI;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec10;The Member State should establish measures to address the introduction of NIS from aquaculture.;FI;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec11;The Member State should establish measures to address hull-fouling in relation to shipping.;FI;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec12;The Member State should establish measures to address recreational activities. ;FI;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec13;The Member State should address cumulative impacts on habitats by multiple stressors.;FI;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec14;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;FI;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec15;The Member State should better explain the manner in which the D8 measures contribute to D9 targets.;FI;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec16;The Member State should provide better justifications for the reported risks of not achieving GES by 2020, for contaminants (D8).;FI;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec17;The Member State should make efforts to identify pollution hot spots (e.g. from plastic pellets, lost fishing gear, etc.).;FI;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec18;The Member State should establish measures to address heat pollution (local pressure identified by Finland).;FI;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec19;The Member State should specify how pressures on birds beyond by-catch are addressed (or will be addressed), namely the effects of NIS and ingestion of litter.;FI;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec20;The Member State should establish measures directly addressing the extraction of species from fisheries.;FI;D1, 4 – Fish;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec21;The Member State should specify how pressures on mammals beyond by-catch are addressed (or will be      addressed), namely litter and underwater noise.;FI;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec22;The Member State should more clearly indicate which measures reported under other descriptors address pressures for water column habitats (and plankton communities), and elaborate on how GES and targets for water column habitats are expected to be achieved.;FI;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec23;The Member State should clearly address marine-based renewable energy generation.;FI;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec24;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;FI;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec25;The Member State should more clearly indicate which measures reported under other descriptors address pressures for seabed habitats, and further elaborate on how GES and targets for seabed habitats are expected to be achieved.;FI;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FI/Rec26;The Member State should specify when it expects GES to be achieved in relation to Article 14 (1)(e) (relevant for D3, D5, D9).;FI;Exceptions;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;FR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec02;In the North East Atlantic (NEA), GES and targets definitions should be better addressed for eutrophication (D5), hydrographical changes (D7), contaminants (D8) and water column habitats (D1, 4). In the Mediterranean Sea, GES and targets definitions should be better addressed for NIS (D2), commercial fish and shellfish (D3), eutrophication (D5), hydrographical changes (D7), contaminants (D8), marine litter (D10) and water column habitats (D1, 4).;FR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec03;The Member State should establish more links with existing EU policies and international instruments for eutrophication (D5), hydrographical changes (D7), contaminants (D8), contaminant in seafood (D9) and underwater noise and energy (D11). ;FR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec04;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs).;FR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec05;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;FR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec06;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;FR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec07;The Member State should cover hull-fouling in relation to shipping in the Mediterranean Sea.;FR;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec08;The Member State should establish more measures to fully cover fisheries (both commercial and recreational) in the Mediterranean Sea where it exerts a significant pressure on stocks.;FR;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec09;The  Member State should cover aquaculture in the NEA and recreational activities in the Mediterranean Sea.;FR;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec10;"The Member State should cover industry and agriculture in the Mediterranean region; or clearly report which of the other descriptor measures will contribute to addressing pressure, GES and targets for hydrographical changes (D7) and how. ";FR;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec11;The Member State should consider assessing the scale of past impacts.;FR;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec12;The Member State should clarify how it will address pressures from activities not subject to local/project scale EIAs (e.g. fishing, shipping). In some cases (e.g. hydrological changes where local dimension is important), this uncertainty may jeopardize the assessment of cumulative effects.;FR;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec13;The Member State should establish clear measures to address the biological effect of contaminants. ;FR;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec14;The Member State should establish more dedicated measures for contaminants in seafood (D9) in the Mediterranean Sea.;FR;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec15;The Member State should better explain the way the measures for contaminants (D8) contribute to contaminants in seafood (D9) targets, in the Mediterranean Sea especially.;FR;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec16;The Member State should address micro-litter better, preferably through direct measures, in addition to indirect measures, in accordance with recommendations of TG Litter.;FR;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec17;The Member State should establish measures that clearly address marine litter degradation products and ensure that litter does not cause harm to the coastal and marine environment, as suggested in its GES and targets definitions.;FR;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec18;The Member State should establish additional research efforts to address data gaps, increase knowledge and pave the way for direct action.  ;FR;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec19;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;FR;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec20;The Member State should consider establishing additional measures to address pressures on birds beyond by-catch. Measures could target disturbances on nesting sites by predation in the NEA, effects of NIS in the NEA and litter ingestion in the Mediterranean Sea. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;FR;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec21;The Member State should establish measures that include additional MPAs in open sea areas to protect non-commercial fish species from various pressures (NIS, by-catch, noise and contaminants). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on fish should be explained.;FR;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec22;In the Mediterranean Sea, the Member State should establish specific measures or plans for cephalopod species.;FR;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec23;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within the Member State's territorial waters, and how they are protected.;FR;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec24;"The Member State should establish additional measures, including spatial protection measures, to address relevant pressures on mammals beyond by-catch (e.g. impacts on mammal habitats due to shipping (collision), underwater noise and contaminants in the NEA; contaminants and marine litter in the Mediterranean Sea). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ";FR;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec25;The Member State should more clearly indicate which measures reported under other descriptors address pressures for water column habitats, and elaborate on how GES and targets for water column habitats are expected to be achieved.;FR;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec26;The Member State should establish measures targeting plankton.;FR;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec27;In the NEA, the Member State should establish measures covering the impacts of seaweed harvesting and marine research on physical damage, as well as measures targeting the effects of seaweed harvesting, land claim and coastal defence and port operations on physical loss. In the Mediterranean Sea, the Member State should clearly specify whether the measures cover the impacts of marine mining and submarine cables on physical damage, as well as the effects of aquaculture, port operations and submarine cable on physical loss.;FR;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec28;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;FR;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/FR/Rec29;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10 in the Mediterranean Sea), the expected effect that measures are to have on seabed habitats should be explained.;FR;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec02;The Member State should consider whether it is feasible to reduce the current levels of certain pressures in the marine environment, given that the majority of direct measures focus on preventing ongoing and future inputs of pressures. It is observed that most measures aim to address ongoing and new inputs of pressures, whilst very few seek to remove or reduce what is already present in the marine environment due to past activities (e.g. NIS, contaminants, litter).;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec03;GES and target definitions should be better addressed for hydrographical changes (D7), contaminants (D8), marine litter (D10), underwater noise (D11), birds (D1, 4), mammals and reptiles (D1, 4) and seabed habitats (D1, 4, 6).;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec04;The Member State should strive to determine the timelines for achieving GES.;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec05;The Member State should establish more links with existing EU policies and international agreements (e.g. for D2, D5, D8, D9, D10 and D11). This would improve the overall coherence and coverage of the PoM. ;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec06;The Member State should explain better how a measure reported for several descriptors is relevant for each one of these descriptors.;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
