Country;Descriptor;AssessmentCriteria;MSFDArticle;Assessment;Conclusions;Criteria;OverallScore;OverallAssessment
Croatia;D1;Adequacy;Initial assessment (Article 8);"Biological features:

Species/functional groups
Croatia has provided data on the different species groups: mammals, birds, turtles and fish. Cephalopods as a species group are not addressed in Croatia’s initial assessment. Croatia has covered a limited number of representative species for each mobile species group. General descriptions are provided on the developments within the different species groups and where available population counts are provided (e.g. bottlenose dolphin, turtles, seabirds), but data on trends, distribution and other parameters for species other than some fish species are not provided.  

Croatia has reported that the current status of the different mobile species groups in relation to GES for Descriptor 1 could not be determined due to a lack of data.  In the case of Descriptor 4, Croatia states that GES is achieved for top predators. Specifically, Croatia states that the top predator community (tuna) is not significantly impacted by anthropogenic drivers. However, Croatia also states that tuna stocks were in a state of improvement but not necessarily recovered therefore the methodology used to conclude that GES is achieved for top predators is unclear. 

Habitats
Croatia has provided separate assessments on the status of its habitats in the paper report and reporting sheets. In the paper report, Croatia has assessed the status of the Photophilic algae and Posidonia oceanica using existing WFD assessments which found that most areas were at good or high ecological status. No detailed information on these WFD assessments is provided. According to Croatia, assessments of current status in relation to the distribution of the habitats could not be conducted due to a lack of data. Similarly, no assessment of the current status of coralligenous assemblages has been made by Croatia, allegedly due to a lack of assessment methods and data. Croatia however acknowledges that the abundance of Corallium rubrum has severely decreased due to commercial exploitation. Impacts on each of the three biogenic habitats have been identified; these include eutrophication, construction, harvesting, bottom trawling and various other impacts. 

In the reporting sheets, additional information is provided on the different types of seagrasses that occur in Croatia including Posidonia oceanica, Zostera marina, Zostera noltii and Cymodeocea nodosa. Some general information is provided for each of these seagrasses although no assessment in regard to Croatian waters has been made. 

Croatia reported on water column habitats by covering phytoplankton biomass, primary production (chlorophyll a), composition of the phytoplankton community and fluctuations of mesozooplanton over time.  Croatia has also made a judgement on the status of the water column finding it to be at GES. 

Ecosystems
Croatia has not provided a holistic assessment of the ecosystem; Croatia indicates that data is missing for the majority of the relevant components. ";"The initial assessment carried out by Croatia in relation to the pressure caused by physical loss and physical damage is considered inadequate. Croatia has only identified the different types of pressures affecting the seabed but has not provided any assessment on the extent, distribution or type of damage.  

Overall the initial assessment carried out by Croatia in relation to the biological features is partially adequate. The assessment covers the most important habitat types and the main relevant species although the information provided is very limited. Judgements have been made on the group conditions for several species groups although the methodology used to reach the conclusions is not transparent. Judgements on current status have been made in relation to most of the different Croatian GES criteria and indicators, and at descriptor level for Descriptor 1 but not 6.";"Features:
- Assessment covers the most important habitat types and the main relevant species
- Judgements are made on the conditions of serval species groups
- Methodologies used to make status judgements are not transparent
- Judgement is made on the status of the ecosystem, it is not clear how the judgement was made";2;Partially adequate
Croatia;D1;Adequacy;Targets (Article 10);"Croatia has reported on its biodiversity environmental targets very differently in the paper report and in the reporting sheets. The following assessment takes both sources of information into account. 

Under Descriptor 1, Croatia has defined targets for each of the separate mobile species groups and the seabed habitats referred to in the GES definition for Descriptor 1. Concerning mobile species, Croatia has defined four targets for marine mammals, two for seabirds, three for marine reptiles (Carretta caretta) and four targets for fish. Under Descriptor 4, Croatia has defined three separate targets applying to the three different target species/trophic groups (primary producers, sardines, tuna and swordfish). Concerning seabed habitats addressed under Descriptor 1, three targets have been set for Cystoseira amentacea, one for photophillica algae, five for Posidonia meadows and four for Coralligenous assemblages. Finally concerning the seabed habits addressed under Descriptor 6, four separate targets have been reported in the reporting sheets but these largely consist of a collection of more specific targets. The paper report also contains other targets which contain more specific thresholds, the relationship between these additional targets and those reported both in the paper report and reporting sheets is not completely clear. 

The targets for mobile species are essentially the same as the indicators reported under the GES definition. Concerning birds, marine mammals and marine reptiles (Carretta carretta) the targets require that the relevant parameters (e.g. distribution, abundance) remain stable or increase. These targets are SMART when there is sufficient data available to establish baselines. The target for birds concerning breeding success is however not SMART as it is only stated that breeding success should not be lower than expected; it is unclear how the ‘expected’ breeding success is quantified. 

Croatia has also defined a number of general targets related to pressures. Concerning by-catch of seabirds and Carretta caretta the targets are general and do not set specific thresholds for by-catch rates or, for Carretta carreta, a desired level of reduction in by-catch. The target regarding the ingestion of litter by Carretta carretta also remains general stating that this pressure should not affect population size. The targets concerning fish do not contain specific thresholds as it is stated that selected fish species should meet individual targets concerning their distribution, abundance and demographics; these specific targets for the selected species are not provided. 

The seabed targets are divided into targets on specific biogenic habitat types and targets on different substrate types. The three biogenic habitat types covered are photophilic algae, and in particular those consisting of Cystoseira amantacea, seagrass meadows, in particular those consisting of Posidonia oceanica, and coralligenous assemblages, in particular those formed by Corallium rubrum. The targets for the biogenic habitats are essentially the same as the indicators of the GES definition. Thresholds for these habitats have been set using the Habitats Directive’s Favourable Reference Range baselines, WFD standards as well as thresholds using the current condition of these habitats as the baseline as measured using specific parameters (e.g. distribution, abundance/coverage). The target on the maintenance of the structure and functioning of coralligenous assemblages is not SMART.

The targets for the different substrate types, hard substrate, sublittoral fine sands, sublittoral coarse sands, circalittoral muds, circalittoral sands and bathyal muds are all essentially the same. They require that the Good Ecological Status, as determined under the WFD, does not decrease, that the distribution of biocenosis is maintained and the species composition is maintained in accordance with the substrate type. Our assessment finds that thresholds still need to be defined for the targets, except where there are thresholds defined under the WFD. In the paper report however, it is mentioned that habitats should be at ‘good’ or ‘high’ status, as per the WFD, in order to achieve GES. ";On the whole, the set of targets and indicators defined by Croatia to cover biodiversity are considered as partially adequate. The targets contain a mixture of SMART targets and targets that still require defined thresholds. Thresholds are generally set to maintain the current condition or to be in compliance with WFD and HD standards. In regards to fish, the targets refer to specific species targets but these are not provided in the report or reporting sheets, nor is it clear how these will be defined. ;"- Targets contain a mixture of SMART targets and targets that still need to have defined thresholds
- Thresholds are generally to maintain the current condition or to be in compliance with WFD and HD standards
- Targets refer to fish species specific targets but these are not provided in the paper report or reporting sheets";2;Partially adequate
Croatia;D1;Consistency ;;The Croatian reporting has clearly related the GES definition, targets and initial assessment to one another. The way Croatia has assessed current status against its biodiversity GES definitions is however not always clear and the status judgements could therefore be challenged. One weakness is that the approach to defining the three descriptors is not always consistent. GES for Descriptor 1, to a large extent, uses the Commission Decision while it has not been used to define GES for Descriptors 4 and 6. Finally the targets under Descriptor 1 are often the same or very similar to the GES indicators, calling into question the difference between Croatia’s GES and targets.  ;;;;
Croatia;D10;Adequacy;GES (Article 9);"In the paper report, Croatia has reported a GES definition for Descriptor 10 that reproduces the MSFD Annex I Descriptor 10 text verbatim; it is unclear whether this is the official Croatian GES definition. The Descriptor definition is accompanied by an explanatory text that explains what is required in order to achieve GES, it is also unclear whether this is part of the definition or not. Croatia has not reported a GES definition for D10 in the reporting sheets. 

The Croatian GES definition, and in particular the explanatory text, focuses on the impacts of marine litter, indirectly covering Commission Decision criterion 10.2; Criterion 10.1 describing the characteristics of marine litter in the environment is not addressed in the explanatory text. 

From the Croatian explanatory text, it can be understood that marine litter should be below a certain threshold so that negative effects from marine litter do not occur, there is however at this stage insufficient knowledge to determine such a threshold. Due to the lack of clear thresholds, the indicators from the Commission Decision focus on trends of marine litter in the marine environment; this approach however is not applied by Croatia. Finally, Croatia has not defined GES for the different classes of litter identified in the Commission Decision, i.e. beach litter, litter in the water column and sea floor, micro-particles and litter ingested by marine life.";The GES definition for D10 is considered inadequate. It is not completely clear whether Croatia has actually defined a GES definition for Descriptor 10, and if yes it is unclear whether it consists only of a verbatim reproduction of the MSFD Annex I or also an accompanying explanatory text. No Descriptor 10 GES definition is reported in the Art. 9 reporting sheet. The GES definition and accompanying text are solely focused on impacts, not trends of level of marine litter in the environment. At this stage, no threshold value can be define for the impacts from marine litter, which means that the achievement of GES as defined by Croatia cannot be measured.;"- Not clear if GES is defined
- If yes it is unclear if the GES consists only of a verbatim reproduction of the MSFD Annex I Descriptor 10 definition
- GES focus on impacts not litter trends";1;Inadequate
Croatia;D10;Adequacy;Initial assessment (Article 8);"Croatia has not done an initial assessment for Descriptor 10. It states that some data and studies are available but it does not present data from these studies. The Member States does state that there are cases of excessive marine litter in some Croatian waters but that this is not considered as an initial assessment.  
";Croatia has not done an initial assessment for Descriptor 10. It states that some data and studies are available but it does not present data from these studies. The Member States does state that there are cases of excessive marine litter in some Croatian waters but that this is not considered as an initial assessment.  ;- Croatia has not done an initial assessment for Descriptor 10. It states that some data and studies are available but it does not present data from these studies. The Member States does state that there are cases of excessive marine litter in some Croatian waters but that this is not considered as an initial assessment;0;Not reported
Croatia;D10;Adequacy;Targets (Article 10);"Croatia has defined four specific targets for marine litter in the reporting sheets and paper report and, in the reporting sheets, has also made a link to one biodiversity target, which refers to impacts of marine litter on loggerhead seaturtles (i.e. Caretta caretta). 

Target 32 aims to reduce the total amount of visible litter on the shores and in the sea but the desired degree of change is not indicated; therefore any decrease would be considered an achievement of this target. The Croatian GES definition or the descriptive text describing the achievement of GES for Descriptor 10 states that GES will be achieved when there are no negative impacts from marine litter, therefore our assessment finds that the current reduction target would not necessarily lead to the achievement of GES. 

Targets 33, 34 and 35 are about the development of indicators for monitoring marine litter on the seabed and microplastics in the water column, on the coast and ingested by marine organisms. They are neither state- nor pressure-based targets but relate more to the monitoring programme or programme of measures. 

Target 4, which is also part of the biodiversity targets, states that marine litter as well as fishing bycatch should not affect the population size of Carretta carreta. This target includes a baseline (i.e. current population) but it will be difficult to find out whether mortality specifically due to marine litter has reduced. 

The reporting sheet indicates that all targets should be achieved by 2018. Considering the state of knowledge regarding marine litter, these targets are realistic. ";The targets as defined by Croatia are partially adequate. The targets consist of one pressure-reduction target and three monitoring targets. Additionally one biodiversity target refers to the impacts of marine litter on marine turtles. The pressure-reduction target however is not very ambitious at is it will be achieved if any reduction of marine litter is achieved even if marine litter continues to impact marine life, therefore this target would not necessarily lead to the achievement of GES. The impact target mixes both impacts from bycatch and impacts from litter and may therefore only have a limited effect on the reduction of impact from litter on turtles. ;"- Contains a pressure reduction target and 3 monitoring targets
- Pressure reduction target not sufficiently ambitious to achieve GES as achieving GES requires there to be no impacts on biota";2;Partially adequate
Croatia;D10;Consistency ;;The Croatian reporting for Descriptor 10 lacks development for all three Articles 8,9,10. This reflects the current level of knowledge and monitoring concerning marine litter. ;;;;
Croatia;D11;Adequacy;GES (Article 9);"The Croatian GES definition for Descriptor 11 provided in the paper report is a verbatim reproduction of the MSFD Annex I Descriptor text. No GES definition is provided in the reporting sheets. 

The Member State’s GES definition is not defined at criteria or indicator level and therefore has not applied the Commission Decision indicators. ";The Croatian GES definition for D11 is considered inadequate. The GES definition is a verbatim introduction of the MSFD Annex I Descriptor 11 definition and does not apply the Commission Decision indicators. ;"- Not clear if GES is defined
- GES definition provided is a verbatim reproduction of the Annex I MSFD Descriptor 11 definition";1;Inadequate
Croatia;D11;Adequacy;Initial assessment (Article 8);Croatia has reported some information on activities taking place to collected data on underwater noise and likely trends in underwater noise. While the Member State reports that initial underwater noise measurements have been undertaken and states that interesting information has been gathered it does not report any of this data as part of their initial assessment. Concerning trends and sources of noise the Member States reports that construction activities and seismic surveys are likely to have increased impulsive noise levels while increases in shipping activities have resulted in an increase in ambient noise levels, no data supporting these conclusions is provided.;The initial assessment by Croatia is considered inadequate. The initial assessment does not provide any data, even though Croatia reports that some is available. The Member State also claims that underwater noise has increased due to increases in construction, seismic surveys and shipping, but it does not provide any data substantiating these claims. ;"- No data provided
- Claims of increases in noise not substantiated by data";1;Inadequate
Croatia;D11;Adequacy;Targets (Article 10);"Croatia has defined two monitoring targets in both the paper report and reporting sheets as well as two additional operational targets in the paper report. 

The monitoring target addressing impulsive noise is to set up a noise registry for sounds which fall within the frequency band 10 Hz to 10 kHz which corresponds to the noise levels described by Commission Decision indicator 11.1.1. The monitoring target addressing ambient noise is to set up measurements stations which measure ambient noise within the frequency bands as defined for Commission Decision indicator 11.2.1. 

The operational targets consist of one target to address the cumulative impacts of noise generating activities on noise sensitive marine species while the other is actually a less specific ambient noise monitoring target. The two operational targets are general and do not contain thresholds or baselines and are therefore not SMART. 

As a set, the target are in line with the recommendations to establish an impulsive noise registry and establish ambient noise monitoring. ";The targets as defined by Croatia are adequate. The targets aim to establish an impulsive noise registry and monitoring stations for measuring ambient noise. The frequency bands to be monitored correspond to those defined in Commission Decision 2010/477/EU. ;"- Targets based on Commission Decision indicators
- Targets in line with recommendations from  Task group 11
- Aim to establish a noise registry and ambient noise monitoring stations";3;Adequate
Croatia;D11;Consistency ;;The Member State’s work for Descriptor 11 is still at an initial stage with a lack of data provided in the initial assessment and the GES definition being a verbatim reproduction of the MSFD Annex I Descriptor 11 text. ;;;;
Croatia;D2;Adequacy;GES (Article 9);"The status of the GES definition for Descriptor 2 is not clear. In the paper report, the definition is indicated as being a proposed definition rather than the final Descriptor 2 GES definition.  In the reporting sheets, the GES definition for D2 seems to be the assessment of current status and therefore part of the initial assessment rather than the official Descriptor 2 GES definition. 

It should be noted that the assessment of current status, reported under Article 9 (instead of Article 8 as it should be) is using the Commission Decision criteria and indicators to assess against GES, rather than the definition reported in the paper report. Since the reporting sheet definitions seem to be part of the Article 8 initial assessment, they are not considered relevant as part of this assessment. Therefore only the ‘proposed’ definition of the paper report has been taken into account. 

The Croatian GES definition for D2 does not follow the Commission Decision 2010/477/EU and is defined at criteria level but not at descriptor or indicator levels. The GES definition addresses environmental impacts and introductions of NIS but does not include specific and quantitative thresholds or baselines. It does not refer to NIS population attributes such as abundance and distribution, as per the Decision criterion 2.1. On the other hand, the Croatian definition for criterion 2.1 refers to having the introductions of NIS by human activities under control. Our assessment finds that this would be more appropriate as a target that leads to the achievement of GES as it does not specifically refer to the state of the environment. 

Finally, the Croatian GES definition for D2 does not specifically refer to trends of NIS introductions and does not require that there is no new introduction of NIS. ";The GES definition is considered inadequate. The GES definition provided in the paper report is indicated as being a proposed GES definition while the reporting sheet definitions seem to be an assessment of current status against the Commission Decision criteria and indicators. The ‘proposed’ GES definition does not include quantitative thresholds or baselines and does not make reference to NIS population attributes, such as NIS abundance or distribution. Finally the Croatian GES definition for D2 does not require that there is no new NIS introduction.;"- GES definition is a proposal
- Reporting sheet GES seems to be part of the initial assessment
- GES definition does not include quantitative thresholds or baselines
- No reference made to NIS population attributes such as abundance or distribution";1;Inadequate
Croatia;D2;Adequacy;Initial assessment (Article 8);"Adriatic Sea through anthropogenic or natural means; in the reporting sheets, this list covers 113 non-indigenous species consisting of phytoplankton (15), zooplankton (16), macroalgae (16), zoobenthic species (44) and fish species (22). In the paper report, Croatia has provided a table with invasive species including phytoplankton (4), zooplankton (1), algae (4), molluscs (7), crustacean (1) and fish species (5). 

Croatia states that they consider the rate of introductions to be increasing. The Member State however does not consider the abundances and distribution of NIS entered through anthropogenic activity as high, indicating that, in this regard, GES is achieved. One weakness is that it is not completely clear whether the Croatian assessment that current status is at GES for NIS introduced via human activities includes or excludes Lessepsian species as these could also be considered to arrive through passive natural processes once they have arrived in the Mediterranean. 

Croatia reports that there is insufficient data to asses impacts from NIS but that it can be assumed that reduced biodiversity resulting from the NIS species Caulerpa racemosa and Womersleyella setacea occurs in some areas. No assessment of current status against GES is made for impacts by NIS. 

The main pathway/vector of NIS introductions identified by Croatia is the Suez Canal resulting in the increasing number of Lessepsian species in the Mediterranean. The Member State has also identified aquaculture, aquarists and shipping as possible sources of NIS introductions but does not fully clarify if they consider these specifically relevant to Croatian waters.

Finally Croatia has not made a judgement of current status against the full GES definition for D2 (only on rate of introduction from human activities) as they consider there to be insufficient data currently available. ";The initial assessment by Croatia is considered partially adequate. The assessment provides data on NIS currently present in Adriatic water and identifies vectors/pathways. The assessment also contains judgements concerning trends of NIS introductions and their abundances and distribution but it does not explain how these judgements are made. ;"- Relevant NIS are presented
- Vectors/pathways identified
- Judgements made on status of NIS in relation to GES but it is not clear how these judgements are made";2;Partially adequate
Croatia;D2;Adequacy;Targets (Article 10);"Croatia has reported a single target which actually consists of five separate sub-targets to be achieved by 2018 as reported in the reporting sheets. The information reported in the paper report and the reporting sheets is consistent.

The sub-targets are indicated to be pressure targets but a large component is to improve monitoring and to increase knowledge about NIS introductions as well as to develop action plans to manage high risk species (measure). The actual pressure sub-targets (c., e. and d. to some extent) are focused on reducing the risks of introductions through various pathways (shipping, commercial fisheries). No state target has been included.

The sub-targets lack details, for example they do not specify which specific species or functional groups of NIS (e.g. plankton, fish) are addressed by the targets or what baselines and thresholds are used for the pressure reduction targets. While the sub-targets lack details and are not SMART, they should contribute to an improved management of NIS introductions and impacts. 
";The targets as defined by Croatia are considered partially adequate. While most of the sub-targets focus on improved monitoring and risk-management measures, a couple of them also aim to reducing introductions through human activities. The targets however are not SMART. ;"- Targets focus on improved monitoring, managing risk and also some impacts
- Targets are not SMART and final outcomes are uncertain";2;Partially adequate
Croatia;D2;Consistency ;;"The Croatian approach to Descriptor 2 for both the definition of GES and setting of the targets is to focus on managing the risk and impacts from NIS. Neither the GES definition or the targets include environmental state-related objectives. Finally, in the initial assessment, current status is assessed against the criteria and indicators from the Commission Decision rather than against the proposed GES as defined by Croatia; therefore it is not completely clear how Croatia intends to assess the achievement of GES in 2020. 
";;;;
Croatia;D3;Adequacy;GES (Article 9);"In the paper report, Croatia has defined GES for D3 at descriptor and criteria levels, the definitions at criteria level incorporate specific indicators verbatim or relevant indicator concepts. The definition at descriptor level also includes a verbatim reproduction of the Descriptor text provided in Annex I of the MSFD. In the Croatian definition, the criteria are not numbered but can be recognised as relating to all three Criteria (i.e. 3.1, 3.2, 3.3).  In the reporting sheets, the GES definition for D3 seems to be the assessment of current status and therefore part of the initial assessment rather than the official Descriptor 3 GES definition.

The GES definition corresponding to criterion 3.1 refers to the pressure of fishing activity and requires that stocks are exploited in a way that restores and maintains populations at levels that can produce MSY. The definition however does not state that all populations should be exploited to achieve production at MSY levels and it does not incorporate either Commission Decision indicator 3.1.1. on fishing mortality or indicator 3.1.2 on catch/biomass ratios. 

The definition corresponding to criterion 3.2 requires that the spawning stock biomass of all stocks remain above Bpa in order to allow for the long term exploitation of stocks at FMSY. Our assessment finds that, while maintaining stocks above Bpa should ensure that the stocks do not fall below levels at which they fully collapse, this precautionary point will not necessarily ensure that stocks are exploited at MSY. The Bpa limit is often set below the limit value that will result in the MSY (SSBmsy). 

Finally, the definition corresponding to criterion 3.3 reproduces verbatim Commission Decision indicator 3.3.1, a close approximation of Commission Decision indicator 3.3.4 and also states that stocks should contain a high rate of old, large individuals. One weakness is that specific threshold values have not been defined, however this is acceptable considering the current state of knowledge. 

It should also be noted that Croatia has selected specific species as components of GES, which include the demersal species Merluccius merluccius, Mullus barbatus and Nephrops norvegicus, the small pelagics Engraulis encrasicolus and Sardina pilchardus, the coastal fish species Spicara smaris and Mullus surmuletus and finally the shellfish species Pecten jacobaeus and Venus verrucosa. This selection of species does not cover all relevant DCF species. It could be the case that this selection of species is only for the purpose of the initial assessment but more details on how this selection was operated are needed to make a full assessment. ";The Croatian GES definition for D3 is considered partially adequate. The GES definition incorporates the relevant criteria and several of the indicators. The GES definition does not require all stocks to be exploited at Fmsy or a relevant proxy. For the purpose of criterion 3.2 all stocks should be above Bpa which is adequate with the current level of understanding. Criterion 3.3 is defined using two of the Commission Decision indicators (i.e. 3.3.1, 3.3.4) and the concept that fish populations should contain a high rate of old and large individuals. The lack of specific thresholds is acceptable considering the current available knowledge. ;"- GES incorporates the relevant Commission Decision criteria and most indicators
- All stocks should be above Fpa
- Criteria 3.3 is defined
- The GES definition does not require all stocks to be exploited at Fmsy or relevant proxy";2;Partially adequate
Croatia;D3;Adequacy;Initial assessment (Article 8);"The Croatian initial assessment for commercial fisheries covers the stock assessments of the relevant species identified as the “GES components” (see section above). 

The demersal species are assessed using annual catch data to assess the biomass index, occurrence, mean length and the abundance of adults for a number of species in geographical sub area (GSA) 17 (e.g. Mullus barbatus). The small pelagics are assessed using the harvest rate (catch/biomass), lengths and age. Coastal species are assessed by looking at catch per unit effort trends and length-based data. For the species Spicara smaris, the stock is assessed in relation to Fmsy reference point. Finally, Croatia reports that the status of shellfish species could not be assessed due to a lack of data. 

In general, Croatia found that most stocks are overexploited, although they mention that the demographic structure of fish populations shows a more sustainable situation along the Croatian coastline than in the rest of the Adriatic Sea, which they attribute to differences in the fishing pressure. Croatia has not included an assessment of the Croatian fishing fleets. ";The initial assessment by Croatia is considered partially adequate. The assessment of current status provides an overview of the status of the stocks considered more relevant and includes a judgement on the overall status against GES. The assessment however does not cover the pressures caused by the Croatian fishing fleet. ;"- Assessment provides a status assessment of the stocks considered relevant
- Includes a status assessment
- No assessment made of the fishing fleet";2;Partially adequate
Croatia;D3;Adequacy;Targets (Article 10);"Croatia has reported different targets in their paper report and the reporting sheets. 

In the paper report Croatia has defined targets for each of the Commission Decision criteria (i.e. 3.1, 3.2, 3.3.). The paper report targets are essentially the same as the GES definition as defined in the paper report. The targets relating to criterion 3.1 requires that stocks are exploited in a way that they can produce MSY but it is not specified whether this applies to all stocks or when this target should be achieved. The target relating to criterion 3.2 requires that all stocks are above Bpa, which is measurable, but our assessment notes that there is no date set for when this target should be achieved and therefore it is not timely. Finally, the targets set for criterion 3.3 contain no specific measurable thresholds, as is also the case for the GES definition. 

In the reporting sheets, Croatia has defined very different targets, which seem to relate strongly to the GES definition for Descriptor 4 reported in the reporting sheets. They can also be considered relevant for Descriptor 3. The targets aim at maintaining long-term stability of fish stocks in regards to various parameters such as biomass, distribution and length structure. Targets 12 and 13 should be achieved by 2018 while targets 14 and 15 should be achieved by 2020. One weakness noted is that, while the targets aim for long-term stability, it is not clear whether this requires any modification in the status of the current stocks in the near future as some stocks are considered overfished. As there are no clearly defined baselines, the targets are not considered to be fully SMART. ";The targets as defined by Croatia are partially adequate. The paper report targets require that all stocks are above Bpa and in general terms that stocks should be exploited at MSY. The reporting sheet targets aim at maintaining the stability of various parameters that are indicative of the health of a stock. These targets are not set in relation to MSY reference points and do not contain clearly defined baselines. These targets can contribute to the achievement of GES for Descriptor 3 although the target objectives are not fully in line with the Descriptor 3 objectives and seem to relate more to Descriptor 4. ;"- Require that all stocks are above Bpa
- Reporting sheet targets are not set in relation to MSY reference points and not contain clearly defined baselines
- Targets contribute to achievement of GES but are not necessarily completely in line with the Descriptor 3 objectives";2;Partially adequate
Croatia;D3;Consistency ;;The Croatian reporting for Descriptor 3 is consistent in the paper report but not in the reporting sheets. In the paper report, GES is defined and the initial assessment is done against the GES definition using the data available. The targets in the paper report are almost identical to the GES definition. In the reporting sheets however, the GES definition is a summary of the assessment of current status while the targets reported seem to relate more to Descriptor 4 than Descriptor 3. ;;;;
Croatia;D4;Adequacy;GES (Article 9);"Croatia has defined GES for Descriptor 4 at criteria level. The definitions provided in the paper report and reporting sheets are different. The definition included in the paper report does not look like a GES definition but rather like Croatia’s explanation of the definition of Descriptor 4 in the Directive. Our assessment will be based on the information reported in the reporting sheet. 

Descriptor 4, as defined in the reporting sheets, is organised according to different trophic levels, the plankton community is the bottom level, small pelagic fish are representative of an intermediate trophic level and top predatory fish as the highest trophic level. The species selected do show a correspondence with the types of groups referred to in the Commission Decision, such as top predators and groups with fast turnover rates.  The GES definition requires that each level in the food web is not significantly adversely influenced by anthropogenic drivers; one weakness in the definition is that it is not indicated what level of impact is considered significant. The focus of the GES is also mostly on the interaction between humans and separate trophic levels, the interaction between the trophic levels themselves is hardly addressed. It should also be noted that the GES applies almost exclusively to the pelagic food web. Finally Croatia has not defined GES for Descriptor 4 using the criteria and indicators of the Commission Decision. ";The Croatian GES for Descriptor 4 is considered partially adequate. The GES definition for Descriptor 4 has not made use the Commission Decision criteria and indicators and instead focuses on assessing the status of species at three separate trophic levels ranging from low to high. The selected species and functional groups do have a correspondence with the types of species that would be selected using the Commission Decision (key predator, groups with fast turnover rates). The GES however does not explain the concept of what is considered a significant adverse effect and therefore does not define any thresholds. Lastly GES is focused exclusively on the pelagic food web.   ;"- GES is based on trophic groups
- The trophic groups include top predators and species with fast turnover rates
- GES refers to significant adverse effects but this concept is not further explained, GES does not contain specific thresholds
- GES focused exclusively on the pelagic food web";2;Partially adequate
Croatia;D4;Adequacy;Initial assessment (Article 8);"From Descriptor 1, 4, 6 assessment:

Ecosystems
Croatia has not provided a holistic assessment of the ecosystem; Croatia indicates that data is missing for the majority of the relevant components. ";Not reported.;- Not reported;0;Not reported
Croatia;D4;Adequacy;Targets (Article 10);"Croatia has reported on its biodiversity environmental targets very differently in the paper report and in the reporting sheets. The following assessment takes both sources of information into account. 

Under Descriptor 4, Croatia has defined three separate targets applying to the three different target species/trophic groups (primary producers, sardines, tuna and swordfish). Concerning seabed habitats addressed under Descriptor 1, three targets have been set for Cystoseira amentacea, one for photophillica algae, five for Posidonia meadows and four for Coralligenous assemblages.

The paper report also contains other targets which contain more specific thresholds, the relationship between these additional targets and those reported both in the paper report and reporting sheets is not completely clear.";"From Descriptor 1, 4, 6 assessment (Partially adequate, 2):

On the whole, the set of targets and indicators defined by Croatia to cover biodiversity are considered as partially adequate. The targets contain a mixture of SMART targets and targets that still require defined thresholds. Thresholds are generally set to maintain the current condition or to be in compliance with WFD and HD standards. In regards to fish, the targets refer to specific species targets but these are not provided in the report or reporting sheets, nor is it clear how these will be defined. ";"- Targets contain a mixture of SMART targets and targets that still need to have defined thresholds
- Thresholds are generally to maintain the current condition or to be in compliance with WFD and HD standards
- Targets refer to fish species specific targets but these are not provided in the paper report or reporting sheets";2;Partially adequate
Croatia;D4;Consistency ;;The Croatian reporting has clearly related the GES definition, targets and initial assessment to one another. The way Croatia has assessed current status against its biodiversity GES definitions is however not always clear and the status judgements could therefore be challenged. One weakness is that the approach to defining the three descriptors is not always consistent. GES for Descriptor 1, to a large extent, uses the Commission Decision while it has not been used to define GES for Descriptors 4 and 6. Finally the targets under Descriptor 1 are often the same or very similar to the GES indicators, calling into question the difference between Croatia’s GES and targets.  ;;;;
