"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Measure Impacts to","Feature code","Feature name","Water body","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","measure purpose","Measure location","Measure response","Status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"HDSP270","Ports and traffic","not specified","MMAC","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP271","Ports and traffic","not specified","MMAC","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,1,0,0,0,0,2
"HDSP272","Ports and traffic","not specified","MMAC","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CX02","Support conservation measures in countries outside the EU",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP273","Ports and traffic","not specified","MMAC","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF08","Reduce/eliminate marine contamination with litter",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,1,0,2
"HDSP274","Ports and traffic","not specified","MMAC","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE01","Reduce impact of transport operation and infrastructure",1,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDSP275","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CX02","Support conservation measures in countries outside the EU",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP276","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC11","Manage/reduce/eliminate marine pollution from resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP277","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE05","Manage/reduce/eliminate noise, light and other forms of pollution from transport",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP278","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,1,0,4
"HDSP279","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC05","Adapt/manage fossil energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP280","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CH03","Reduce impact of other specific human actions",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP281","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CH03","Reduce impact of other specific human actions",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP282","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP283","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CX01","Support conservation measures in another EU Member State",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP284","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP285","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,1,0,4
"HDSP286","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE05","Manage/reduce/eliminate noise, light and other forms of pollution from transport",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP287","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC11","Manage/reduce/eliminate marine pollution from resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP288","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP289","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,0,0,3
"HDSP290","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC05","Adapt/manage fossil energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP291","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CX01","Support conservation measures in another EU Member State",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP292","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CX02","Support conservation measures in countries outside the EU",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP293","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP294","Ports and traffic","not specified","MMAC","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en el Plan de Conservación de los cetáceos del Archipiélago canario.",1,0,0,0,0,0,0,1,1,0,0,3
"HDSP295","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE07","Other measures related to transport",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP296","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CH03","Reduce impact of other specific human actions",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP297","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,1,1,1,0,4
"HDSP298","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,1,1,1,0,4
"HDSP299","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC05","Adapt/manage fossil energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP300","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CS04","Manage other native species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP301","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CX02","Support conservation measures in countries outside the EU",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP302","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC11","Manage/reduce/eliminate marine pollution from resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP303","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE05","Manage/reduce/eliminate noise, light and other forms of pollution from transport",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP304","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP305","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,1,0,0,0,0,0,0,0,0,2
"HDSP306","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP307","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CH03","Reduce impact of other specific human actions",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP308","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CS04","Manage other native species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP309","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE07","Other measures related to transport",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP310","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,1,0,0,0,0,0,0,0,0,2
"HDSP311","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CX02","Support conservation measures in countries outside the EU",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP312","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC05","Adapt/manage fossil energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP313","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC11","Manage/reduce/eliminate marine pollution from resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP314","Ports and traffic","not specified","MMAC","ES","Spain","Species","2027","Orcinus orca","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE05","Manage/reduce/eliminate noise, light and other forms of pollution from transport",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","La presencia de la orca en Canarias suele coincidir con la del atún rojo, por lo que las medidas a aplicar serán las de fomento de la especie presa (como una mejor regulación de pesquerías) y de protección de la especie en general.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP315","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CX02","Support conservation measures in countries outside the EU",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP316","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP317","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE05","Manage/reduce/eliminate noise, light and other forms of pollution from transport",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP318","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,1,1,1,0,4
"HDSP319","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC11","Manage/reduce/eliminate marine pollution from resource exploitation and energy production",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP320","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP321","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,1,1,0,0,3
"HDSP322","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,1,1,1,0,4
"HDSP323","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC05","Adapt/manage fossil energy installation, facilities and operation",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP324","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC05","Adapt/manage fossil energy installation, facilities and operation",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP325","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CG15","Other measures related to exploitation of species",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,1,0,0,0,0,0,0,0,0,2
"HDSP326","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,1,1,0,0,3
"HDSP327","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CH03","Reduce impact of other specific human actions",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP328","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CH03","Reduce impact of other specific human actions",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP329","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CX02","Support conservation measures in countries outside the EU",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP330","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG15","Other measures related to exploitation of species",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,1,0,0,0,0,0,0,0,0,2
"HDSP331","Ports and traffic","not specified","MMAC","ES","Spain","Species","2030","Grampus griseus","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE07","Other measures related to transport",0,"increase","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Conforme a lo planteado en los programas de medidas de las Estrategias Marinas y al criterio experto.",1,0,0,0,0,0,0,0,0,0,0,1
