"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Measure Impacts to","Feature code","Feature Name","Water body category","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","Measure purpose","Measure location","Measure response","Status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"HDH242","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH243","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CC02","Adapt/manage exploitation of energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,1,3
"HDH244","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CN02","Implement climate change adaptation measures",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,1,1,1,1,1,1,1,1,1,11
"HDH245","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH246","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CE02","Manage/reduce/eliminate pollution to surface or ground water from transport",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH247","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH248","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH249","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH250","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH251","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CJ01","Reduce impact of mixed source pollution",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH252","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH253","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH254","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH255","Ports and traffic","not specified","MMAC","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CJ01","Reduce impact of mixed source pollution",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH256","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH257","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH258","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CI01","Early detection and rapid eradication of invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH259","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH260","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CN02","Implement climate change adaptation measures",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,1,1,1,1,1,1,1,1,1,11
"HDH261","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CI01","Early detection and rapid eradication of invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH262","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG04","Control/eradication of illegal killing, fishing and harvesting",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,1,0,1,0,0,0,0,0,4
"HDH263","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH264","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CE02","Manage/reduce/eliminate pollution to surface or ground water from transport",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH265","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CC02","Adapt/manage exploitation of energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,1,3
"HDH266","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CS03","Improvement of habitat of species from the directives",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH267","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CS03","Improvement of habitat of species from the directives",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH268","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CC02","Adapt/manage exploitation of energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,1,3
"HDH269","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH270","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH271","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH272","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG04","Control/eradication of illegal killing, fishing and harvesting",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,1,0,1,0,0,0,0,0,4
"HDH273","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH274","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CE02","Manage/reduce/eliminate pollution to surface or ground water from transport",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH275","Ports and traffic","not specified","MMED","ES","Spain","Habitats","1170","Reefs","Open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CN02","Implement climate change adaptation measures",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,1,1,1,1,1,1,1,1,1,11
"HDH276","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF12","Other measures related to residential, commercial, industrial and recreational infrastructures, operations and activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH277","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH278","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH279","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH280","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CH01","Reduce impact of military installations and activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH281","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH282","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CJ01","Reduce impact of mixed source pollution",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH283","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,1,0,0,1,0,0,0,0,0,3
"HDH284","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF12","Other measures related to residential, commercial, industrial and recreational infrastructures, operations and activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH285","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CH01","Reduce impact of military installations and activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH286","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CJ01","Reduce impact of mixed source pollution",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH287","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH288","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH289","Ports and traffic","not specified","MMED","ES","Spain","Habitats","8330","Submerged or partially submerged sea caves","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,1,0,3
"HDH290","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CI05","Management of problematic native species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH291","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CI05","Management of problematic native species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH292","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CE04","Manage/reduce/eliminate marine pollution from transport",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,1,1,0,0,4
"HDH293","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH294","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CI03","Management, control or eradication of other invasive alien species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,1,0,0,0,1,0,0,0,0,0,3
"HDH295","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CI03","Management, control or eradication of other invasive alien species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,1,0,0,0,1,0,0,0,0,0,3
"HDH296","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CI03","Management, control or eradication of other invasive alien species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,1,0,0,0,1,0,0,0,0,0,3
"HDH297","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE04","Manage/reduce/eliminate marine pollution from transport",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,1,1,0,0,4
"HDH298","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH299","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,1,1,0,0,4
"HDH300","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,1,1,0,0,4
"HDH301","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH302","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CI05","Management of problematic native species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH303","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,1,1,0,0,4
"HDH304","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH305","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CE04","Manage/reduce/eliminate marine pollution from transport",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,1,1,0,0,4
"HDH306","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CI05","Management of problematic native species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,0,0,0,0,1,0,0,0,0,0,2
"HDH307","Ports and traffic","not specified","MBAL","FI","Finland","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"M","CI03","Management, control or eradication of other invasive alien species",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","Although successful measures have been taken to reduce the effect of eutrophication on marine environment, additional measures are needed to reduce the effects of eutrophication on coastal habitats. Further, measures to mitigate the effects of coastal construction activities and small-scale dredging and dumping of material should be developed to reduce the loss of structure and function of the habitat.",1,1,0,0,0,1,0,0,0,0,0,3
